TadDens,MFDens,Spur13Aug,Spur1Sep,Spur20Sep
20,250,0.000173913,0.000361111,0.001383333
20,25,0.000186957,0.000422222,0.000111111
2,125,0.00016087,0.006338889,0.000483333
2,250,0.000608696,0.009194444,0.006922222
20,125,8.69565E-05,0.000388889,0.000205556
0,0,0.003991304,0.008744444,0.004244444
10,25,0.001730435,0.002333333,0.00065
0,250,0.000786957,0.005672222,0.001222222
0,125,0.000117391,0.000138889,7.22222E-05
2,0,7.82609E-05,0.000238889,0.000122222
10,125,0.000108696,0.000272222,0.000122222
0,25,0.000221739,0.000177778,0.000166667
10,0,0.000673913,0.005844444,0.000605556
0,0,0.000308696,6.11111E-05,0.000177778
2,25,0.000117391,0.000211111,0.0003
10,250,6.52174E-05,7.77778E-05,6.66667E-05
20,0,0.000182609,0.000266667,0.000194444
