TadDens,MFDens,SampleDate,AFDM.Alg
0,0,13-Aug,0.003991304
0,250,13-Aug,0.000786957
0,125,13-Aug,0.000117391
0,25,13-Aug,0.000221739
0,0,13-Aug,0.000308696
2,125,13-Aug,0.00016087
2,250,13-Aug,0.000608696
2,0,13-Aug,7.83E-05
2,25,13-Aug,0.000117391
10,25,13-Aug,0.001730435
10,125,13-Aug,0.000108696
10,0,13-Aug,0.000673913
10,250,13-Aug,6.52E-05
20,250,13-Aug,0.000173913
20,25,13-Aug,0.000186957
20,125,13-Aug,8.70E-05
20,0,13-Aug,0.000182609
0,0,1-Sep,0.008744444
0,250,1-Sep,0.005672222
0,125,1-Sep,0.000138889
0,25,1-Sep,0.000177778
0,0,1-Sep,6.11E-05
2,125,1-Sep,0.006338889
2,250,1-Sep,0.009194444
2,0,1-Sep,0.000238889
2,25,1-Sep,0.000211111
10,25,1-Sep,0.002333333
10,125,1-Sep,0.000272222
10,0,1-Sep,0.005844444
10,250,1-Sep,7.78E-05
20,250,1-Sep,0.000361111
20,25,1-Sep,0.000422222
20,125,1-Sep,0.000388889
20,0,1-Sep,0.000266667
0,0,20-Sep,0.004244444
0,250,20-Sep,0.001222222
0,125,20-Sep,7.22E-05
0,25,20-Sep,0.000166667
0,0,20-Sep,0.000177778
2,125,20-Sep,0.000483333
2,250,20-Sep,0.006922222
2,0,20-Sep,0.000122222
2,25,20-Sep,0.0003
10,25,20-Sep,0.00065
10,125,20-Sep,0.000122222
10,0,20-Sep,0.000605556
10,250,20-Sep,6.67E-05
20,250,20-Sep,0.001383333
20,25,20-Sep,0.000111111
20,125,20-Sep,0.000205556
20,0,20-Sep,0.000194444
