LakeID,SampleDate,CageID,AlgWeight,DaysSinPrevSamp,AlgWtperM^2,AlgGroRate,AGRperM^2,TadDens,MFDens
10102,8/2/2009,1,0.001,16,0.078764965,6.25E-05,0.00492281,20,125
10102,8/2/2009,2,0.0027,16,0.212665406,0.00016875,0.013291588,2,125
10102,8/2/2009,3,0.0018,16,0.141776938,0.0001125,0.008861059,2,0
10102,8/2/2009,4,0.0025,16,0.196912413,0.00015625,0.012307026,0,125
10102,8/2/2009,5,0.0013,16,0.102394455,8.125E-05,0.006399653,0,250
10102,8/2/2009,6,0.0008,16,0.063011972,5E-05,0.003938248,20,25
10102,8/2/2009,7,0.0011,16,0.086641462,6.875E-05,0.005415091,2,25
10102,8/2/2009,8,0.001,16,0.078764965,6.25E-05,0.00492281,10,125
10102,8/2/2009,9,0.0055,16,0.433207309,0.00034375,0.027075457,20,0
10102,8/2/2009,10,0.002,16,0.157529931,0.000125,0.009845621,20,250
10102,8/2/2009,11,0.0036,16,0.283553875,0.000225,0.017722117,0,0
10102,8/2/2009,12,0.0031,16,0.244171393,0.00019375,0.015260712,10,0
10102,8/2/2009,13,0.0016,16,0.126023945,1E-04,0.007876497,2,250
10102,8/2/2009,14,0.0016,16,0.126023945,1E-04,0.007876497,10,250
10102,8/2/2009,15,0.0083,16,0.653749212,0.00051875,0.040859326,0,0
10102,8/2/2009,16,0.0078,16,0.61436673,0.0004875,0.038397921,0,25
10102,8/2/2009,17,0.0025,16,0.196912413,0.00015625,0.012307026,10,25
10102,8/24/2009,1,0.0002,23,0.015752993,8.69565E-06,0.000684913,20,125
10102,8/24/2009,2,0.0014,23,0.110270951,6.08696E-05,0.004794389,2,125
10102,8/24/2009,3,0.0053,23,0.417454316,0.000230435,0.018150188,2,0
10102,8/24/2009,4,0.0013,23,0.102394455,5.65217E-05,0.004451933,0,125
10102,8/24/2009,5,0.0026,23,0.20478891,0.000113043,0.008903866,0,250
10102,8/24/2009,6,0.0061,23,0.480466289,0.000265217,0.020889839,20,25
10102,8/24/2009,7,0.0045,23,0.354442344,0.000195652,0.015410537,2,25
10102,8/24/2009,8,0.0041,23,0.322936358,0.000178261,0.014040711,10,125
10102,8/24/2009,9,0.0073,23,0.574984247,0.000317391,0.024999315,20,0
10102,8/24/2009,10,0.002,23,0.157529931,8.69565E-05,0.006849127,20,250
10102,8/24/2009,11,0.0056,23,0.441083806,0.000243478,0.019177557,0,0
10102,8/24/2009,12,0.0055,23,0.433207309,0.00023913,0.0188351,10,0
10102,8/24/2009,13,0.0014,23,0.110270951,6.08696E-05,0.004794389,2,250
10102,8/24/2009,14,0.0009,23,0.070888469,3.91304E-05,0.003082107,10,250
10102,8/24/2009,15,0.009,23,0.708884688,0.000391304,0.030821073,0,0
10102,8/24/2009,16,0.006,23,0.472589792,0.00026087,0.020547382,0,25
10102,8/24/2009,17,0.0046,23,0.362318841,0.0002,0.015752993,10,25
10102,9/12/2009,1,0.004,19,0.315059861,0.000210526,0.016582098,20,125
10102,9/12/2009,2,0.0045,19,0.354442344,0.000236842,0.01865486,2,125
10102,9/12/2009,3,0.0044,19,0.346565848,0.000231579,0.018240308,2,0
10102,9/12/2009,4,0.0036,19,0.283553875,0.000189474,0.014923888,0,125
10102,9/12/2009,5,0.002,19,0.157529931,0.000105263,0.008291049,0,250
10102,9/12/2009,6,0.0047,19,0.370195337,0.000247368,0.019483965,20,25
10102,9/12/2009,7,0.0043,19,0.338689351,0.000226316,0.017825755,2,25
10102,9/12/2009,8,0.0039,19,0.307183365,0.000205263,0.016167546,10,125
10102,9/12/2009,9,0.0066,19,0.519848771,0.000347368,0.027360462,20,0
10102,9/12/2009,10,0.0016,19,0.126023945,8.42105E-05,0.006632839,20,250
