LakeID,LakeName,CageID,TadpoleDensity,MayflyDensity
10102,LeConte,1,20,125
10102,LeConte,2,2,125
10102,LeConte,3,2,0
10102,LeConte,4,0,125
10102,LeConte,5,0,250
10102,LeConte,6,20,25
10102,LeConte,7,2,25
10102,LeConte,8,10,125
10102,LeConte,9,20,0
10102,LeConte,10,20,250
10102,LeConte,11,0,0
10102,LeConte,12,10,0
10102,LeConte,13,2,250
10102,LeConte,14,10,250
10102,LeConte,15,0,0
10102,LeConte,16,0,25
10102,LeConte,17,10,25
10475,Spur,1,20,250
10475,Spur,2,20,25
10475,Spur,3,2,125
10475,Spur,4,2,250
10475,Spur,5,20,125
10475,Spur,6,0,0
10475,Spur,7,10,25
10475,Spur,8,0,250
10475,Spur,9,0,125
10475,Spur,10,2,0
10475,Spur,11,10,125
10475,Spur,12,0,25
10475,Spur,13,10,0
10475,Spur,14,0,0
10475,Spur,15,2,25
10475,Spur,16,10,250
10475,Spur,17,20,0
