LakeID,CageNum,LtLoc,Light
10102,1,IntLt,1440
10102,2,IntLt,1470
10102,3,IntLt,1420
10102,4,IntLt,1550
10102,5,IntLt,1490
10102,6,IntLt,1560
10102,7,IntLt,1540
10102,8,IntLt,1520
10102,9,IntLt,1540
10102,10,IntLt,1570
10102,11,IntLt,1480
10102,12,IntLt,1500
10102,13,IntLt,1450
10102,14,IntLt,1680
10102,15,IntLt,1540
10102,16,IntLt,1520
10102,17,IntLt,1720
10102,1,ExtLt,1950
10102,2,ExtLt,1950
10102,3,ExtLt,1950
10102,4,ExtLt,1950
10102,5,ExtLt,1950
10102,6,ExtLt,1950
10102,7,ExtLt,1970
10102,8,ExtLt,1970
10102,9,ExtLt,1970
10102,10,ExtLt,1970
10102,11,ExtLt,1970
10102,12,ExtLt,1970
10102,13,ExtLt,1970
10102,14,ExtLt,1970
10102,15,ExtLt,1970
10102,16,ExtLt,1970
10102,17,ExtLt,1970
10475,1,IntLt,1500
10475,2,IntLt,1330
10475,3,IntLt,1750
10475,4,IntLt,1550
10475,5,IntLt,1050
10475,6,IntLt,1350
10475,7,IntLt,1650
10475,8,IntLt,1200
10475,9,IntLt,1750
10475,10,IntLt,1450
10475,11,IntLt,1450
10475,12,IntLt,1700
10475,13,IntLt,1500
10475,14,IntLt,1450
10475,15,IntLt,1650
10475,16,IntLt,1500
10475,17,IntLt,1350
10475,1,ExtLt,2000
10475,2,ExtLt,2000
10475,3,ExtLt,2000
10475,4,ExtLt,2000
10475,5,ExtLt,2000
10475,6,ExtLt,2000
10475,7,ExtLt,1950
10475,8,ExtLt,2000
10475,9,ExtLt,2000
10475,10,ExtLt,2000
10475,11,ExtLt,2000
10475,12,ExtLt,1900
10475,13,ExtLt,2000
10475,14,ExtLt,2000
10475,15,ExtLt,2000
10475,16,ExtLt,2000
10475,17,ExtLt,2000
