,LakeID,SampleDate,CageNumber,AnimalNumber,GosnerStage,TadpoleWeight
109,10102,15-Jul-09,1,1,37,8.2
110,10102,15-Jul-09,1,2,38,7.6
111,10102,15-Jul-09,1,3,31,2.6
112,10102,15-Jul-09,1,4,35,3.8
113,10102,15-Jul-09,1,5,31,3.2
114,10102,15-Jul-09,1,6,31,2.6
115,10102,15-Jul-09,1,7,34,2.9
116,10102,15-Jul-09,1,8,35,3.2
117,10102,15-Jul-09,1,9,34,3.1
118,10102,15-Jul-09,1,10,35,3.5
119,10102,15-Jul-09,1,11,33,4.1
120,10102,15-Jul-09,1,12,35,3
121,10102,15-Jul-09,1,13,32,2.9
122,10102,15-Jul-09,1,14,37,7.5
123,10102,15-Jul-09,1,15,37,7.1
124,10102,15-Jul-09,1,16,35,2.7
125,10102,15-Jul-09,1,17,35,3.2
126,10102,15-Jul-09,1,18,32,2.7
127,10102,15-Jul-09,1,19,37,7.8
128,10102,15-Jul-09,1,20,35,3.4
270,10102,15-Jul-09,2,1,31,3.2
271,10102,15-Jul-09,2,2,35,3.7
342,10102,15-Jul-09,3,1,31,2.9
343,10102,15-Jul-09,3,2,34,3.5
444,10102,15-Jul-09,6,1,36,3.5
445,10102,15-Jul-09,6,2,35,3.4
446,10102,15-Jul-09,6,3,35,3.3
447,10102,15-Jul-09,6,4,32,2.9
448,10102,15-Jul-09,6,5,35,3.8
449,10102,15-Jul-09,6,6,31,2.6
450,10102,15-Jul-09,6,7,35,3.3
451,10102,15-Jul-09,6,8,30,2.4
452,10102,15-Jul-09,6,9,35,3.2
453,10102,15-Jul-09,6,10,31,3
454,10102,15-Jul-09,6,11,36,3.1
455,10102,15-Jul-09,6,12,35,3.9
456,10102,15-Jul-09,6,13,38,6.2
457,10102,15-Jul-09,6,14,35,3.8
458,10102,15-Jul-09,6,15,37,5.3
459,10102,15-Jul-09,6,16,34,3.3
460,10102,15-Jul-09,6,17,31,3.1
461,10102,15-Jul-09,6,18,37,6.8
462,10102,15-Jul-09,6,19,35,3.5
463,10102,15-Jul-09,6,20,31,2.9
504,10102,15-Jul-09,7,1,31,2.6
505,10102,15-Jul-09,7,2,35,3.1
554,10102,15-Jul-09,8,1,29,2.4
555,10102,15-Jul-09,8,2,29,2.3
556,10102,15-Jul-09,8,3,37,6.4
557,10102,15-Jul-09,8,4,37,6.1
558,10102,15-Jul-09,8,5,31,2.9
559,10102,15-Jul-09,8,6,34,3.4
560,10102,15-Jul-09,8,7,35,3
561,10102,15-Jul-09,8,8,34,2.8
562,10102,15-Jul-09,8,9,32,3.3
563,10102,15-Jul-09,8,10,32,3.1
585,10102,15-Jul-09,9,1,38,6.3
586,10102,15-Jul-09,9,2,35,3.2
587,10102,15-Jul-09,9,3,32,3.1
588,10102,15-Jul-09,9,4,36,3.9
589,10102,15-Jul-09,9,5,37,5.5
590,10102,15-Jul-09,9,6,34,2.8
591,10102,15-Jul-09,9,7,38,6.1
592,10102,15-Jul-09,9,8,36,2.7
593,10102,15-Jul-09,9,9,36,3.5
594,10102,15-Jul-09,9,10,35,3.7
595,10102,15-Jul-09,9,11,37,6.4
596,10102,15-Jul-09,9,12,32,2.6
597,10102,15-Jul-09,9,13,31,3.1
598,10102,15-Jul-09,9,14,36,3.9
599,10102,15-Jul-09,9,15,35,3.3
600,10102,15-Jul-09,9,16,35,3.3
601,10102,15-Jul-09,9,17,31,2.5
602,10102,15-Jul-09,9,18,30,2.9
603,10102,15-Jul-09,9,19,33,3.1
604,10102,15-Jul-09,9,20,32,2.7
645,10102,15-Jul-09,10,1,31,2.6
646,10102,15-Jul-09,10,2,35,3.2
647,10102,15-Jul-09,10,3,31,1.9
648,10102,15-Jul-09,10,4,34,3.5
649,10102,15-Jul-09,10,5,31,2.2
650,10102,15-Jul-09,10,6,31,3.5
651,10102,15-Jul-09,10,7,37,5.8
652,10102,15-Jul-09,10,8,35,3.4
653,10102,15-Jul-09,10,9,35,3.6
654,10102,15-Jul-09,10,10,35,3.2
655,10102,15-Jul-09,10,11,35,3.4
656,10102,15-Jul-09,10,12,35,3
657,10102,15-Jul-09,10,13,37,5.8
658,10102,15-Jul-09,10,14,31,3.4
659,10102,15-Jul-09,10,15,32,3.1
660,10102,15-Jul-09,10,16,36,3.5
661,10102,15-Jul-09,10,17,36,3.8
662,10102,15-Jul-09,10,18,30,2.8
663,10102,15-Jul-09,10,19,31,2.8
664,10102,15-Jul-09,10,20,36,3.2
734,10102,15-Jul-09,12,1,36,3.8
735,10102,15-Jul-09,12,2,31,1.5
736,10102,15-Jul-09,12,3,38,4.2
737,10102,15-Jul-09,12,4,36,4
738,10102,15-Jul-09,12,5,35,3.7
739,10102,15-Jul-09,12,6,29,2.1
740,10102,15-Jul-09,12,7,33,3.6
741,10102,15-Jul-09,12,8,33,4
742,10102,15-Jul-09,12,9,35,4.1
743,10102,15-Jul-09,12,10,35,3.9
754,10102,15-Jul-09,13,1,31,2.6
755,10102,15-Jul-09,13,2,36,2.7
793,10102,15-Jul-09,14,1,36,3.9
794,10102,15-Jul-09,14,2,35,2.8
795,10102,15-Jul-09,14,3,31,2.6
796,10102,15-Jul-09,14,4,35,3.3
797,10102,15-Jul-09,14,5,34,2.9
798,10102,15-Jul-09,14,6,35,3.1
799,10102,15-Jul-09,14,7,36,4.1
800,10102,15-Jul-09,14,8,32,2.8
801,10102,15-Jul-09,14,9,36,4
802,10102,15-Jul-09,14,10,37,4.6
858,10102,15-Jul-09,17,1,36,3.8
859,10102,15-Jul-09,17,2,32,3.3
860,10102,15-Jul-09,17,3,31,2.6
861,10102,15-Jul-09,17,4,31,3.1
862,10102,15-Jul-09,17,5,32,3.5
863,10102,15-Jul-09,17,6,31,2.5
864,10102,15-Jul-09,17,7,30,1.9
865,10102,15-Jul-09,17,8,31,3.4
866,10102,15-Jul-09,17,9,31,3.1
867,10102,15-Jul-09,17,10,36,3.6
129,10102,1-Aug-09,1,1,41,5.2
130,10102,1-Aug-09,1,2,34,1.9
131,10102,1-Aug-09,1,3,39,3.8
132,10102,1-Aug-09,1,4,35,2.8
133,10102,1-Aug-09,1,5,39,5.7
134,10102,1-Aug-09,1,6,41,5
135,10102,1-Aug-09,1,7,31,2
136,10102,1-Aug-09,1,8,41,6.2
137,10102,1-Aug-09,1,9,35,2.1
138,10102,1-Aug-09,1,10,35,2.6
139,10102,1-Aug-09,1,11,32,2.1
140,10102,1-Aug-09,1,12,34,2.5
141,10102,1-Aug-09,1,13,35,2.3
142,10102,1-Aug-09,1,14,34,2.2
143,10102,1-Aug-09,1,15,35,2.3
144,10102,1-Aug-09,1,16,36,2.4
145,10102,1-Aug-09,1,17,35,2.3
146,10102,1-Aug-09,1,18,35,2
147,10102,1-Aug-09,1,19,33,2.1
148,10102,1-Aug-09,1,20,34,2
149,10102,23-Aug-09,1,1,33,1.9
150,10102,23-Aug-09,1,2,37,3.8
151,10102,23-Aug-09,1,3,38,2.6
152,10102,23-Aug-09,1,4,36,2.8
153,10102,23-Aug-09,1,5,37,3.2
154,10102,23-Aug-09,1,6,36,2.9
155,10102,23-Aug-09,1,7,36,2.2
156,10102,23-Aug-09,1,8,37,2.5
157,10102,23-Aug-09,1,9,37,2.6
158,10102,23-Aug-09,1,10,36,2.6
159,10102,23-Aug-09,1,11,36,2.1
160,10102,23-Aug-09,1,12,37,2.7
161,10102,23-Aug-09,1,13,34,1.9
162,10102,23-Aug-09,1,14,36,2.1
163,10102,23-Aug-09,1,15,33,2
164,10102,23-Aug-09,1,16,33,2.5
165,10102,23-Aug-09,1,17,37,2.5
166,10102,23-Aug-09,1,18,37,2.4
167,10102,23-Aug-09,1,19,37,2.3
168,10102,23-Aug-09,1,20,36,2.2
272,10102,23-Aug-09,2,1,35,3
273,10102,23-Aug-09,2,2,34,2.5
344,10102,23-Aug-09,3,1,36,3.2
345,10102,23-Aug-09,3,2,32,2.9
464,10102,23-Aug-09,6,1,32,2
465,10102,23-Aug-09,6,2,37,3.5
466,10102,23-Aug-09,6,3,36,2.6
467,10102,23-Aug-09,6,4,36,2.5
468,10102,23-Aug-09,6,5,32,2.1
469,10102,23-Aug-09,6,6,35,2
470,10102,23-Aug-09,6,7,36,2.1
471,10102,23-Aug-09,6,8,31,1.6
472,10102,23-Aug-09,6,9,35,2.5
473,10102,23-Aug-09,6,10,32,2.1
474,10102,23-Aug-09,6,11,36,2.7
475,10102,23-Aug-09,6,12,35,2.7
476,10102,23-Aug-09,6,13,35,2.8
477,10102,23-Aug-09,6,14,35,2.5
478,10102,23-Aug-09,6,15,34,2.5
479,10102,23-Aug-09,6,16,36,3.1
480,10102,23-Aug-09,6,17,35,2.2
481,10102,23-Aug-09,6,18,31,1.8
482,10102,23-Aug-09,6,19,32,1.8
483,10102,23-Aug-09,6,20,35,2.2
506,10102,23-Aug-09,7,1,34,3.7
507,10102,23-Aug-09,7,2,31,3.2
564,10102,23-Aug-09,8,1,34,2.7
565,10102,23-Aug-09,8,2,35,2.9
566,10102,23-Aug-09,8,3,34,1.9
567,10102,23-Aug-09,8,4,32,1.7
568,10102,23-Aug-09,8,5,31,1.5
569,10102,23-Aug-09,8,6,33,2.3
570,10102,23-Aug-09,8,7,34,2.3
571,10102,23-Aug-09,8,8,34,2.4
572,10102,23-Aug-09,8,9,35,2.5
573,10102,23-Aug-09,8,10,34,2.2
574,10102,23-Aug-09,8,11,27,0.3
605,10102,23-Aug-09,9,1,36,2.8
606,10102,23-Aug-09,9,2,37,3.9
607,10102,23-Aug-09,9,3,36,2.8
608,10102,23-Aug-09,9,4,37,3.2
609,10102,23-Aug-09,9,5,32,2.1
610,10102,23-Aug-09,9,6,37,2.9
611,10102,23-Aug-09,9,7,38,4.5
612,10102,23-Aug-09,9,8,36,2.4
613,10102,23-Aug-09,9,9,33,2.8
614,10102,23-Aug-09,9,10,32,2.8
615,10102,23-Aug-09,9,11,36,2.5
616,10102,23-Aug-09,9,12,36,2.9
617,10102,23-Aug-09,9,13,32,1.9
618,10102,23-Aug-09,9,14,35,2.9
619,10102,23-Aug-09,9,15,32,2.3
620,10102,23-Aug-09,9,16,34,2.3
621,10102,23-Aug-09,9,17,34,2
622,10102,23-Aug-09,9,18,34,2.2
623,10102,23-Aug-09,9,19,36,2.4
