LakeID,SampDate,CageNum,TxDens,MeanGos,MeanTadWt
10102,15-Jul-09,1,20,34.45,4.255
10102,15-Jul-09,2,2,33,3.45
10102,15-Jul-09,3,2,32.5,3.2
10102,15-Jul-09,4,0,na,na
10102,15-Jul-09,5,0,na,na
10102,15-Jul-09,6,20,34.2,3.665
10102,15-Jul-09,7,2,33,2.85
10102,15-Jul-09,8,10,33,3.57
10102,15-Jul-09,9,20,34.45,3.73
10102,15-Jul-09,10,20,33.7,3.385
10102,15-Jul-09,11,0,na,na
10102,15-Jul-09,12,10,34.1,3.49
10102,15-Jul-09,13,2,33.5,2.65
10102,15-Jul-09,14,10,34.7,3.41
10102,15-Jul-09,15,0,na,na
10102,15-Jul-09,16,0,na,na
10102,15-Jul-09,17,10,32.1,3.08
10102,23-Aug,1,20,33.95,3.59
10102,23-Aug,2,2,36,4.55
10102,23-Aug,3,2,32.5,3.2
10102,23-Aug,4,0,na,na
10102,23-Aug,5,0,na,na
10102,23-Aug,6,20,33.85,3.83
10102,23-Aug,7,2,36,4.45
10102,23-Aug,8,10,34,3.445454545
10102,23-Aug,9,20,33.6,3.375
10102,23-Aug,10,20,34.05,3.24
10102,23-Aug,11,0,na,na
10102,23-Aug,12,10,33.4,3.43
10102,23-Aug,13,2,30.5,2.65
10102,23-Aug,14,10,36.8,3.93
10102,23-Aug,15,0,na,na
10102,23-Aug,16,0,na,na
10102,23-Aug,17,10,34.6,2.28
