SamplePeriod,meanSampleTemp,totalSampleTemp,light,PctBoulder,PctCobble,PctGravel,PctSand,PctSilt,PctBedrock,elevation
16,10.79379252,226.6696429,1950,75,25,0,0,0,0,3213
16,10.79379252,226.6696429,1950,0,0,0,0,100,0,3213
16,10.79379252,226.6696429,1950,0,0,0,0,100,0,3213
16,10.79379252,226.6696429,1950,37.5,0,0,0,62.5,0,3213
16,10.79379252,226.6696429,1950,100,0,0,0,0,0,3213
16,10.79379252,226.6696429,1950,100,0,0,0,0,0,3213
16,10.79379252,226.6696429,1970,0,50,0,0,0,50,3213
16,10.79379252,226.6696429,1970,50,25,0,0,0,25,3213
16,10.79379252,226.6696429,1970,50,0,25,25,0,0,3213
16,10.79379252,226.6696429,1970,37.5,25,37.5,0,0,0,3213
16,10.79379252,226.6696429,1970,37.5,25,37.5,0,0,0,3213
16,10.79379252,226.6696429,1970,0,0,0,0,0,100,3213
16,10.79379252,226.6696429,1970,0,0,0,0,0,100,3213
16,10.79379252,226.6696429,1970,25,0,0,0,0,75,3213
16,10.79379252,226.6696429,1970,100,0,0,0,0,0,3213
16,10.79379252,226.6696429,1970,75,0,0,0,25,0,3213
16,10.79379252,226.6696429,1970,0,37.5,37.5,0,0,25,3213
23,12.73822464,292.9791667,1950,75,25,0,0,0,0,3213
23,12.73822464,292.9791667,1950,0,0,0,0,100,0,3213
23,12.73822464,292.9791667,1950,0,0,0,0,100,0,3213
23,12.73822464,292.9791667,1950,37.5,0,0,0,62.5,0,3213
23,12.73822464,292.9791667,1950,100,0,0,0,0,0,3213
23,12.73822464,292.9791667,1950,100,0,0,0,0,0,3213
23,12.73822464,292.9791667,1970,0,50,0,0,0,50,3213
23,12.73822464,292.9791667,1970,50,25,0,0,0,25,3213
23,12.73822464,292.9791667,1970,50,0,25,25,0,0,3213
23,12.73822464,292.9791667,1970,37.5,25,37.5,0,0,0,3213
23,12.73822464,292.9791667,1970,37.5,25,37.5,0,0,0,3213
23,12.73822464,292.9791667,1970,0,0,0,0,0,100,3213
23,12.73822464,292.9791667,1970,0,0,0,0,0,100,3213
23,12.73822464,292.9791667,1970,25,0,0,0,0,75,3213
23,12.73822464,292.9791667,1970,100,0,0,0,0,0,3213
23,12.73822464,292.9791667,1970,75,0,0,0,25,0,3213
