LakeName,LakeID,SampleNumber,SamplePeriod,EnclosureType,CageNumber,ExperimentalAFDM,ControlAFDM,TadDens,TadWtStart,TadWtEnd,MFDens,MFCount,MFBiomassStart,MFBiomassEnd,Silt,Radiation
LeConte,10102,S2,16,Experimental,1,0.001,0.0018,20,85.1,59.5,125,121,0.406453,0.5209288,0,1950
LeConte,10102,S2,16,Experimental,2,0.0027,0.0071,2,6.9,6.2,125,100,0.406453,0.4305196,100,1950
LeConte,10102,S2,16,Experimental,3,0.0018,0.0053,2,6.4,4.9,0,0,0,0,100,1950
LeConte,10102,S2,16,Experimental,4,0.0025,0.0018,0,0,0,125,98,0.406453,0.4219093,62.5,1950
LeConte,10102,S2,16,Experimental,5,0.0013,0.002,0,0,0,250,190,0.812906,0.8179873,0,1950
LeConte,10102,S2,16,Experimental,6,0.0008,0.0017,20,73.3,52.3,25,24,0.0812906,0.1033247,0,1950
LeConte,10102,S2,16,Experimental,7,0.0011,0.0008,2,5.7,6.2,25,22,0.0812906,0.09471432,0,1970
LeConte,10102,S2,16,Experimental,8,0.001,0.0035,10,35.7,29.8,125,104,0.406453,0.4477404,0,1970
LeConte,10102,S2,16,Experimental,9,0.0055,0.0106,20,74.6,57.55,0,0,0,0,0,1970
LeConte,10102,S2,16,Experimental,10,0.002,0.0103,20,67.7,46.9,250,190,0.812906,0.8179873,0,1970
LeConte,10102,S2,16,Experimental,11,0.0036,0.002,0,0,0,0,0,0,0,0,1970
LeConte,10102,S2,16,Experimental,12,0.0031,0.0011,10,34.9,24.8,0,0,0,0,0,1970
LeConte,10102,S2,16,Experimental,13,0.0016,0.0023,2,5.3,7,250,192,0.812906,0.8265977,0,1970
LeConte,10102,S2,16,Experimental,14,0.0016,0.0012,10,34.1,24.3,250,149,0.812906,0.641473,0,1970
LeConte,10102,S2,16,Experimental,15,0.0083,0.0014,0,0,0,0,0,0,0,0,1970
LeConte,10102,S2,16,Experimental,16,0.0078,0.0031,0,0,0,25,21,0.0812906,0.09040913,25,1970
LeConte,10102,S2,16,Experimental,17,0.0025,0.0039,10,30.8,23.8,25,11,0.0812906,0.04735716,0,1970
LeConte,10102,S3,23,Experimental,1,0.0002,0.0017,20,50.4,49.8,125,73,0.5381496,0.4432272,0,1950
LeConte,10102,S3,23,Experimental,2,0.0014,0.0017,2,6.2,5.5,125,58,0.5381496,0.3521531,100,1950
LeConte,10102,S3,23,Experimental,3,0.0053,0.0011,2,4.9,6.1,0,0,0,0,100,1950
LeConte,10102,S3,23,Experimental,4,0.0013,0.0026,0,0,0,125,82,0.5381496,0.4978716,62.5,1950
LeConte,10102,S3,23,Experimental,5,0.0026,0.0018,0,0,0,250,171,1.076299,1.038244,0,1950
LeConte,10102,S3,23,Experimental,6,0.0061,0.0006,20,53.7,47.3,25,11,0.1076299,0.06678765,0,1950
LeConte,10102,S3,23,Experimental,7,0.0045,0.0021,2,6.2,6.9,25,7,0.1076299,0.04250123,0,1970
LeConte,10102,S3,23,Experimental,8,0.0041,0.0015,10,26.4,22.7,125,81,0.5381496,0.4918,0,1970
LeConte,10102,S3,23,Experimental,9,0.0073,0.0013,20,53.85,54.2,0,0,0,0,0,1970
LeConte,10102,S3,23,Experimental,10,0.002,0.0015,20,46.4,49.5,250,179,1.076299,1.086817,0,1970
LeConte,10102,S3,23,Experimental,11,0.0056,0.0009,0,0,0,0,0,0,0,0,1970
LeConte,10102,S3,23,Experimental,12,0.0055,0.0022,10,25.9,24.1,0,0,0,0,0,1970
LeConte,10102,S3,23,Experimental,13,0.0014,0.0015,2,7,5.3,250,176,1.076299,1.068602,0,1970
LeConte,10102,S3,23,Experimental,14,0.0009,0.0019,10,24.3,26.3,250,62,1.076299,0.3764395,0,1970
LeConte,10102,S3,23,Experimental,15,0.009,0.0019,0,0,0,0,0,0,0,0,1970
LeConte,10102,S3,23,Experimental,16,0.006,0.0019,0,0,0,25,15,0.1076299,0.09107407,25,1970
LeConte,10102,S3,23,Experimental,17,0.0046,0.0009,10,23.8,25.4,25,10,0.1076299,0.06071605,0,1970
LeConte,10102,S4,19,Experimental,1,0.004,0.0031,20,49.8,51.3,125,47,0.7589506,0.1125558,0,1950
LeConte,10102,S4,19,Experimental,2,0.0045,0.0031,2,5.5,6.3,125,39,0.7589506,0.0933974,100,1950
LeConte,10102,S4,19,Experimental,3,0.0044,0.0017,2,6.1,6,0,0,0,0,100,1950
LeConte,10102,S4,19,Experimental,4,0.0036,0.0008,0,0,0,125,38,0.7589506,0.03100259,62.5,1950
LeConte,10102,S4,19,Experimental,5,0.002,0.0014,0,0,0,250,89,1.517901,0.2131376,0,1950
LeConte,10102,S4,19,Experimental,6,0.0047,0.0013,20,47.3,50.3,25,6,0.1517901,0.01436883,0,1950
LeConte,10102,S4,19,Experimental,7,0.0043,0.0019,2,6.9,5.9,25,8,0.1517901,0.01915844,0,1970
LeConte,10102,S4,19,Experimental,8,0.0039,0.0021,10,22.7,22.7,125,43,0.7589506,0.1029766,0,1970
LeConte,10102,S4,19,Experimental,9,0.0066,0.0025,20,54.2,60.1,0,0,0,0,0,1970
LeConte,10102,S4,19,Experimental,10,0.0016,0.0018,20,49.5,49.5,250,113,1.517901,0.270613,0,1970
LeConte,10102,S4,19,Experimental,11,0.0031,0.0014,0,0,0,0,0,0,0,0,1970
LeConte,10102,S4,19,Experimental,12,0.002,0.0016,10,24.1,26.3,0,0,0,0,0,1970
LeConte,10102,S4,19,Experimental,13,0.0007,0.0014,2,5.3,6.4,250,135,1.517901,0.3232987,0,1970
LeConte,10102,S4,19,Experimental,14,0.0013,0.0012,10,26.3,28.9,250,34,1.517901,0.08142337,0,1970
LeConte,10102,S4,19,Experimental,15,0.0054,0.0023,0,0,0,0,0,0,0,0,1970
LeConte,10102,S4,19,Experimental,16,0.0058,0.0014,0,0,0,25,0,0.1517901,0,25,1970
LeConte,10102,S4,19,Experimental,17,0.0026,0.0015,10,25.4,28.6,25,0,0.1517901,0,0,1970
Spur,10475,S2,23,Experimental,1,0.004,0.0131,20,60.7,45.1,250,26,0.421718,0.03617312,0,2000
Spur,10475,S2,23,Experimental,2,0.0043,0.0028,20,65.2,51.2,25,3,0.0421718,0.004173822,0,2000
Spur,10475,S2,23,Experimental,3,0.0037,0.0296,2,4.5,6,125,11,0.2108589,0.01530401,50,2000
Spur,10475,S2,23,Experimental,4,0.014,0.0297,2,6.3,6.2,250,11,0.421718,0.01530401,0,2000
Spur,10475,S2,23,Experimental,5,0.002,0.0072,20,67.7,54.7,125,5,0.2108589,0.00695637,0,2000
Spur,10475,S2,23,Experimental,6,0.0918,0.0306,0,0,0,0,0,0,0,37.5,2000
Spur,10475,S2,23,Experimental,7,0.0398,0.0313,10,30.4,24.8,25,0,0.0421718,0,25,1950
Spur,10475,S2,23,Experimental,8,0.0181,0.0303,0,0,0,250,17,0.421718,0.02365166,0,2000
Spur,10475,S2,23,Experimental,9,0.0027,0.003,0,0,0,125,18,0.2108589,0.02504293,50,2000
Spur,10475,S2,23,Experimental,10,0.0018,0.0021,2,6.1,1.6,0,0,0,0,0,2000
Spur,10475,S2,23,Experimental,11,0.0025,0.003,10,35.2,34.1,125,0,0.2108589,0,0,2000
Spur,10475,S2,23,Experimental,12,0.0051,0.003,0,0,0,25,0,0.0421718,0,0,1900
Spur,10475,S2,23,Experimental,13,0.0155,0.0091,10,30.4,24.8,0,0,0,0,37.5,2000
Spur,10475,S2,23,Experimental,14,0.0071,0.0018,0,0,0,0,0,0,0,0,2000
Spur,10475,S2,23,Experimental,15,0.0027,0.0131,2,6.7,3.7,25,0,0.0421718,0,0,2000
Spur,10475,S2,23,Experimental,16,0.0015,0.0101,10,25.6,22.2,250,14,0.421718,0.01947783,0,2000
Spur,10475,S2,23,Experimental,17,0.0042,0.0035,20,63.5,42.9,0,0,0,0,0,2000
Spur,10475,S3,18,Experimental,1,0.0065,0.0034,20,42.4,40.1,250,51,0.3478185,0.03435436,0,2000
Spur,10475,S3,18,Experimental,2,0.0076,0.0028,20,36,29.1,25,11,0.03478185,0.007409764,0,2000
Spur,10475,S3,18,Experimental,3,0.1141,0.0618,2,3.9,2.9,125,96,0.1739092,0.06466703,50,2000
Spur,10475,S3,18,Experimental,4,0.1655,0.0749,2,4.4,4.5,250,136,0.3478185,0.09161163,0,2000
Spur,10475,S3,18,Experimental,5,0.007,0.0749,20,49.5,47.6,125,53,0.1739092,0.03570159,0,2000
Spur,10475,S3,18,Experimental,6,0.1574,0.0373,0,0,0,0,2,0,0.00134723,37.5,2000
Spur,10475,S3,18,Experimental,7,0.042,0.0133,10,18.7,15.7,25,6,0.03478185,0.00404169,25,1950
Spur,10475,S3,18,Experimental,8,0.1021,0.0381,0,0,0,250,180,0.3478185,0.1212507,0,2000
