LakeID,SampleDate,CageNumber,AnimalNumber,GosnerStage,Predicted AFDM,Tadpole Density,MayflyDensity
10102,15-Jul-09,1,1,37,55.0702515,20,125
10102,15-Jul-09,1,2,38,63.37951266,20,125
10102,15-Jul-09,1,3,31,21.6770828,20,125
10102,15-Jul-09,1,4,35,41.09057525,20,125
10102,15-Jul-09,1,5,31,21.6770828,20,125
10102,15-Jul-09,1,6,31,21.6770828,20,125
10102,15-Jul-09,1,7,34,35.26976418,20,125
10102,15-Jul-09,1,8,35,41.09057525,20,125
10102,15-Jul-09,1,9,34,35.26976418,20,125
10102,15-Jul-09,1,10,35,41.09057525,20,125
10102,15-Jul-09,1,11,33,30.13577137,20,125
10102,15-Jul-09,1,12,35,41.09057525,20,125
10102,15-Jul-09,1,13,32,25.62474666,20,125
10102,15-Jul-09,1,14,37,55.0702515,20,125
10102,15-Jul-09,1,15,37,55.0702515,20,125
10102,15-Jul-09,1,16,35,41.09057525,20,125
10102,15-Jul-09,1,17,35,41.09057525,20,125
10102,15-Jul-09,1,18,32,25.62474666,20,125
10102,15-Jul-09,1,19,37,55.0702515,20,125
10102,15-Jul-09,1,20,35,41.09057525,20,125
10102,15-Jul-09,2,1,31,21.6770828,2,125
10102,15-Jul-09,2,2,35,41.09057525,2,125
10102,15-Jul-09,3,1,31,21.6770828,2,0
10102,15-Jul-09,3,2,34,35.26976418,2,0
10102,15-Jul-09,6,1,36,47.66646142,20,25
10102,15-Jul-09,6,2,35,41.09057525,20,25
10102,15-Jul-09,6,3,35,41.09057525,20,25
10102,15-Jul-09,6,4,32,25.62474666,20,25
10102,15-Jul-09,6,5,35,41.09057525,20,25
10102,15-Jul-09,6,6,31,21.6770828,20,25
10102,15-Jul-09,6,7,35,41.09057525,20,25
10102,15-Jul-09,6,8,30,18.23725282,20,25
10102,15-Jul-09,6,9,35,41.09057525,20,25
10102,15-Jul-09,6,10,31,21.6770828,20,25
10102,15-Jul-09,6,11,36,47.66646142,20,25
10102,15-Jul-09,6,12,35,41.09057525,20,25
10102,15-Jul-09,6,13,38,63.37951266,20,25
10102,15-Jul-09,6,14,35,41.09057525,20,25
10102,15-Jul-09,6,15,37,55.0702515,20,25
10102,15-Jul-09,6,16,34,35.26976418,20,25
10102,15-Jul-09,6,17,31,21.6770828,20,25
10102,15-Jul-09,6,18,37,55.0702515,20,25
10102,15-Jul-09,6,19,35,41.09057525,20,25
