LakeID,LakeNAme,SampleDate,SampleNumber,CageOrder#,CageID,CageID,EpiAFDM,SamplePeriod,EpiWtperM^2,EpiGroRate,EGRperM^2,CtrlDiff,TadDens,TotTadWtMsrdCage,TadWtStart,TadWtEnd,TadWtChange,MFCount,MFDens,MFDensChg,MFPropChg,MFBiomassStart,MFBiomassEnd,MFBiomassChange,meanSampleTemp,totalSampleTemp,light,PctBoulder,PctCobble,PctGravel,PctSand,PctSilt,PctBedrock,elevation
10102,LeConte,15-Jul-09,S1,1,1,1,NA,NA,NA,NA,NA,NA,20,85.1,NA,NA,NA,125,125,0,0,0.406453,NA,NA,NA,NA,1950,75,25,0,0,0,0,3213
10102,LeConte,15-Jul-09,S1,2,2,2,NA,NA,NA,NA,NA,NA,2,6.9,NA,NA,NA,125,125,0,0,0.406453,NA,NA,NA,NA,1950,0,0,0,0,100,0,3213
10102,LeConte,15-Jul-09,S1,3,3,3,NA,NA,NA,NA,NA,NA,2,6.4,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,1950,0,0,0,0,100,0,3213
10102,LeConte,15-Jul-09,S1,4,4,4,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,125,125,0,0,0.406453,NA,NA,NA,NA,1950,37.5,0,0,0,62.5,0,3213
10102,LeConte,15-Jul-09,S1,5,5,5,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,250,250,0,0,0.812906,NA,NA,NA,NA,1950,100,0,0,0,0,0,3213
10102,LeConte,15-Jul-09,S1,6,6,6,NA,NA,NA,NA,NA,NA,20,73.3,NA,NA,NA,25,25,0,0,0.0812906,NA,NA,NA,NA,1950,100,0,0,0,0,0,3213
10102,LeConte,15-Jul-09,S1,7,7,7,NA,NA,NA,NA,NA,NA,2,5.7,NA,NA,NA,25,25,0,0,0.0812906,NA,NA,NA,NA,1970,0,50,0,0,0,50,3213
10102,LeConte,15-Jul-09,S1,8,8,8,NA,NA,NA,NA,NA,NA,10,35.7,NA,NA,NA,125,125,0,0,0.406453,NA,NA,NA,NA,1970,50,25,0,0,0,25,3213
10102,LeConte,15-Jul-09,S1,9,9,9,NA,NA,NA,NA,NA,NA,20,74.6,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,1970,50,0,25,25,0,0,3213
10102,LeConte,15-Jul-09,S1,10,10,10,NA,NA,NA,NA,NA,NA,20,67.7,NA,NA,NA,250,250,0,0,0.812906,NA,NA,NA,NA,1970,37.5,25,37.5,0,0,0,3213
