LakeID,LakeNAme,SampleDate,SampleNumber,CageOrder#,CageID,CageID,EpiAFDM,SamplePeriod,EpiWtperM^2,EpiGroRate,EGRperM^2,CtrlDiff,TadDens,TotTadWtMsrdCage,TadWtStart,TadWtEnd,TadWtChange,MFCount,MFDens,MFDensChg,MFPropChg,MFBiomassStart,MFBiomassEnd,MFBiomassChange,meanSampleTemp,totalSampleTemp,light,PctBoulder,PctCobble,PctGravel,PctSand,PctSilt,PctBedrock,elevation
10102,LeConte,2-Aug-09,S2,1,1,1,0.001,16,0.078764965,6.25E-05,0.00492281,-0.003938253,20,59.5,85.1,59.5,-25.6,121,125,-4,-3.2,0.406453,0.5209288,-0.1144758,10.79379252,226.6696429,1950,75,25,0,0,0,0,3213
10102,LeConte,2-Aug-09,S2,2,2,2,0.0027,16,0.212665406,0.00016875,0.013291588,-0.021660381,2,6.2,6.9,6.2,-0.7,100,125,-25,-20,0.406453,0.4305196,-0.0240666,10.79379252,226.6696429,1950,0,0,0,0,100,0,3213
10102,LeConte,2-Aug-09,S2,3,3,3,0.0018,16,0.141776938,0.0001125,0.008861059,-0.017229847,2,4.9,6.4,4.9,-1.5,0,0,0,0,0,0,0,10.79379252,226.6696429,1950,0,0,0,0,100,0,3213
10102,LeConte,2-Aug-09,S2,4,4,4,0.0025,16,0.196912413,0.00015625,0.012307026,0.003445963,0,0,0,0,0,98,125,-27,-21.6,0.406453,0.4219093,-0.0154563,10.79379252,226.6696429,1950,37.5,0,0,0,62.5,0,3213
10102,LeConte,2-Aug-09,S2,5,5,5,0.0013,16,0.102394455,8.13E-05,0.006399653,-0.003445972,0,0,0,0,0,190,250,-60,-24,0.812906,0.8179873,-0.0050813,10.79379252,226.6696429,1950,100,0,0,0,0,0,3213
10102,LeConte,2-Aug-09,S2,6,6,6,0.0008,16,0.063011972,5.00E-05,0.003938248,-0.004430533,20,52.3,73.3,52.3,-21,24,25,-1,-4,0.0812906,0.1033247,-0.0220341,10.79379252,226.6696429,1950,100,0,0,0,0,0,3213
10102,LeConte,2-Aug-09,S2,7,7,7,0.0011,16,0.086641462,6.88E-05,0.005415091,0.001476841,2,6.2,5.7,6.2,0.5,22,25,-3,-12,0.0812906,0.09471432,-0.01342372,10.79379252,226.6696429,1970,0,50,0,0,0,50,3213
10102,LeConte,2-Aug-09,S2,8,8,8,0.001,16,0.078764965,6.25E-05,0.00492281,-0.012307034,10,29.8,35.7,29.8,-5.9,104,125,-21,-16.8,0.406453,0.4477404,-0.0412874,10.79379252,226.6696429,1970,50,25,0,0,0,25,3213
10102,LeConte,2-Aug-09,S2,9,9,9,0.0055,16,0.433207309,0.00034375,0.027075457,-0.025106355,20,57.55,74.6,57.55,-17.05,0,0,0,0,0,0,0,10.79379252,226.6696429,1970,50,0,25,25,0,0,3213
10102,LeConte,2-Aug-09,S2,10,10,10,0.002,16,0.157529931,0.000125,0.009845621,-0.040859348,20,46.9,67.7,46.9,-20.8,190,250,-60,-24,0.812906,0.8179873,-0.0050813,10.79379252,226.6696429,1970,37.5,25,37.5,0,0,0,3213
10102,LeConte,2-Aug-09,S2,11,11,11,0.0036,16,0.283553875,0.000225,0.017722117,0.007876492,0,0,0,0,0,0,0,0,0,0,0,0,10.79379252,226.6696429,1970,37.5,25,37.5,0,0,0,3213
10102,LeConte,2-Aug-09,S2,12,12,12,0.0031,16,0.244171393,0.00019375,0.015260712,0.009845618,10,24.8,34.9,24.8,-10.1,0,0,0,0,0,0,0,10.79379252,226.6696429,1970,0,0,0,0,0,100,3213
10102,LeConte,2-Aug-09,S2,13,13,13,0.0016,16,0.126023945,1.00E-04,0.007876497,-0.003445972,2,7,5.3,7,1.7,192,250,-58,-23.2,0.812906,0.8265977,-0.0136917,10.79379252,226.6696429,1970,0,0,0,0,0,100,3213
10102,LeConte,2-Aug-09,S2,14,14,14,0.0016,16,0.126023945,1.00E-04,0.007876497,0.001969122,10,24.3,34.1,24.3,-9.8,149,250,-101,-40.4,0.812906,0.641473,0.171433,10.79379252,226.6696429,1970,25,0,0,0,0,75,3213
10102,LeConte,2-Aug-09,S2,15,15,15,0.0083,16,0.653749212,0.00051875,0.040859326,0.033967389,0,0,0,0,0,0,0,0,0,0,0,0,10.79379252,226.6696429,1970,100,0,0,0,0,0,3213
