LakeID,Block,Enclosure,TadDens,MFDens,Emerged,EmergedPct
10102,1,1,20,125,1,0.008
10102,1,2,2,125,2,0.016
10102,1,4,0,125,4,0.032
10102,1,5,0,250,2,0.008
10102,1,6,20,25,2,0.08
10102,1,7,2,25,1,0.04
10102,1,8,10,125,0,0
10102,1,10,20,250,1,0.004
10102,1,13,2,250,1,0.004
10102,1,14,10,250,2,0.008
10102,1,16,0,25,0,0
10102,1,17,10,25,0,0
10475,1,1,20,250,24,0.096
10475,1,2,20,25,3,0.12
10475,1,3,2,125,7,0.056
10475,1,4,2,250,48,0.192
10475,1,5,20,125,30,0.24
10475,1,7,10,25,2,0.08
10475,1,8,0,250,44,0.176
10475,1,9,0,125,17,0.136
10475,1,11,10,125,28,0.224
10475,1,12,0,25,10,0.4
10475,1,15,2,25,10,0.4
10475,1,16,10,250,79,0.316
10102,2,1,20,125,2,0.016
10102,2,2,2,125,10,0.08
10102,2,4,0,125,14,0.112
10102,2,5,0,250,28,0.112
10102,2,6,20,25,1,0.04
10102,2,7,2,25,3,0.12
10102,2,8,10,125,4,0.032
10102,2,10,20,250,20,0.08
10102,2,13,2,250,20,0.08
10102,2,14,10,250,5,0.02
10102,2,16,0,25,5,0.2
10102,2,17,10,25,9,0.36
10475,2,1,20,250,24,0.096
10475,2,2,20,25,6,0.24
10475,2,3,2,125,7,0.056
10475,2,4,2,250,22,0.088
10475,2,5,20,125,20,0.16
10475,2,7,10,25,1,0.04
10475,2,8,0,250,38,0.152
10475,2,9,0,125,10,0.08
10475,2,11,10,125,15,0.12
10475,2,12,0,25,2,0.08
10475,2,15,2,25,3,0.12
10475,2,16,10,250,46,0.184
