SampleID,AFDM,Length,GosnerStage
327,28.8,67.5,35
144,22.2,66.7,31
122,50.6,87.5,41
16,33.3,67.1,35
354,15.5,59.8,29
84,41.6,69.5,35
40,22.9,62.9,31
350,43.1,58.9,32
351,15.4,62.1,31
347,89.9,81,35
35,46.5,69.6,35
326,67.7,85.8,40
345,58.8,83.5,37
4,51.9,65.7,36
155,106.7,82.6,40
349,78.3,75.6,38
85,74.7,70.2,32
130,47.3,63.1,31
330,70.6,89.3,40
76,43.9,69.6,34
310,75.7,47.3,31
55,69.2,69.6,34
60,2.6,23,26
6,46.3,66.3,34
311,14.4,57.6,31
43,24.6,72.2,34
344,31.6,65.4,31
124,34,60.8,30
133,136.8,88,40
353,105.4,78.9,40
