LakeName,LakeID,CageNumber,SampleNumber,StartEnd,MFCount,SampleNumberInt,TadpoleTx,MayflyTx,PpnChange
LeConte,10102,1,S2,Start,125,1,20,125,0
LeConte,10102,1,S2,End,121,2,20,125,-0.032
LeConte,10102,1,S3,Start,125,2,20,125,0
LeConte,10102,1,S3,End,73,3,20,125,-0.416
LeConte,10102,1,S4,Start,125,3,20,125,0
LeConte,10102,1,S4,End,47,4,20,125,-0.624
LeConte,10102,2,S2,Start,125,1,2,125,0
LeConte,10102,2,S2,End,100,2,2,125,-0.2
LeConte,10102,2,S3,Start,125,2,2,125,0
LeConte,10102,2,S3,End,58,3,2,125,-0.536
LeConte,10102,2,S4,Start,125,3,2,125,0
LeConte,10102,2,S4,End,39,4,2,125,-0.688
LeConte,10102,3,S2,Start,0,1,2,0,0
LeConte,10102,3,S2,End,0,2,2,0,0
LeConte,10102,3,S3,Start,0,2,2,0,0
LeConte,10102,3,S3,End,0,3,2,0,0
LeConte,10102,3,S4,Start,0,3,2,0,0
LeConte,10102,3,S4,End,0,4,2,0,0
LeConte,10102,4,S2,Start,125,1,0,125,0
LeConte,10102,4,S2,End,98,2,0,125,-0.216
LeConte,10102,4,S3,Start,125,2,0,125,0
LeConte,10102,4,S3,End,82,3,0,125,-0.344
LeConte,10102,4,S4,Start,125,3,0,125,0
LeConte,10102,4,S4,End,38,4,0,125,-0.696
LeConte,10102,5,S2,Start,250,1,0,250,0
LeConte,10102,5,S2,End,190,2,0,250,-0.24
LeConte,10102,5,S3,Start,250,2,0,250,0
LeConte,10102,5,S3,End,171,3,0,250,-0.316
LeConte,10102,5,S4,Start,250,3,0,250,0
LeConte,10102,5,S4,End,89,4,0,250,-0.644
LeConte,10102,6,S2,Start,25,1,20,25,0
LeConte,10102,6,S2,End,24,2,20,25,-0.04
LeConte,10102,6,S3,Start,25,2,20,25,0
LeConte,10102,6,S3,End,11,3,20,25,-0.56
LeConte,10102,6,S4,Start,25,3,20,25,0
LeConte,10102,6,S4,End,6,4,20,25,-0.76
LeConte,10102,7,S2,Start,25,1,2,25,0
LeConte,10102,7,S2,End,22,2,2,25,-0.12
LeConte,10102,7,S3,Start,25,2,2,25,0
LeConte,10102,7,S3,End,7,3,2,25,-0.72
LeConte,10102,7,S4,Start,25,3,2,25,0
LeConte,10102,7,S4,End,8,4,2,25,-0.68
LeConte,10102,8,S2,Start,125,1,10,125,0
LeConte,10102,8,S2,End,104,2,10,125,-0.168
LeConte,10102,8,S3,Start,125,2,10,125,0
LeConte,10102,8,S3,End,81,3,10,125,-0.352
LeConte,10102,8,S4,Start,125,3,10,125,0
LeConte,10102,8,S4,End,43,4,10,125,-0.656
LeConte,10102,9,S2,Start,0,1,20,0,0
LeConte,10102,9,S2,End,0,2,20,0,0
LeConte,10102,9,S3,Start,0,2,20,0,0
LeConte,10102,9,S3,End,0,3,20,0,0
LeConte,10102,9,S4,Start,0,3,20,0,0
LeConte,10102,9,S4,End,0,4,20,0,0
LeConte,10102,10,S2,Start,250,1,20,250,0
LeConte,10102,10,S2,End,190,2,20,250,-0.24
LeConte,10102,10,S3,Start,250,2,20,250,0
LeConte,10102,10,S3,End,179,3,20,250,-0.284
LeConte,10102,10,S4,Start,250,3,20,250,0
LeConte,10102,10,S4,End,113,4,20,250,-0.548
LeConte,10102,11,S2,Start,0,1,0,0,0
LeConte,10102,11,S2,End,0,2,0,0,0
LeConte,10102,11,S3,Start,0,2,0,0,0
LeConte,10102,11,S3,End,0,3,0,0,0
LeConte,10102,11,S4,Start,0,3,0,0,0
LeConte,10102,11,S4,End,0,4,0,0,0
LeConte,10102,12,S2,Start,0,1,10,0,0
LeConte,10102,12,S2,End,0,2,10,0,0
LeConte,10102,12,S3,Start,0,2,10,0,0
LeConte,10102,12,S3,End,0,3,10,0,0
LeConte,10102,12,S4,Start,0,3,10,0,0
LeConte,10102,12,S4,End,0,4,10,0,0
LeConte,10102,13,S2,Start,250,1,2,250,0
LeConte,10102,13,S2,End,192,2,2,250,-0.232
LeConte,10102,13,S3,Start,250,2,2,250,0
LeConte,10102,13,S3,End,176,3,2,250,-0.296
LeConte,10102,13,S4,Start,250,3,2,250,0
LeConte,10102,13,S4,End,135,4,2,250,-0.46
LeConte,10102,14,S2,Start,250,1,10,250,0
LeConte,10102,14,S2,End,149,2,10,250,-0.404
LeConte,10102,14,S3,Start,250,2,10,250,0
LeConte,10102,14,S3,End,62,3,10,250,-0.752
LeConte,10102,14,S4,Start,250,3,10,250,0
LeConte,10102,14,S4,End,34,4,10,250,-0.864
LeConte,10102,15,S2,Start,0,1,0,0,0
LeConte,10102,15,S2,End,0,2,0,0,0
LeConte,10102,15,S3,Start,0,2,0,0,0
LeConte,10102,15,S3,End,0,3,0,0,0
LeConte,10102,15,S4,Start,0,3,0,0,0
LeConte,10102,15,S4,End,0,4,0,0,0
LeConte,10102,16,S2,Start,25,1,0,25,0
LeConte,10102,16,S2,End,21,2,0,25,-0.16
LeConte,10102,16,S3,Start,25,2,0,25,0
LeConte,10102,16,S3,End,15,3,0,25,-0.4
LeConte,10102,16,S4,Start,25,3,0,25,0
LeConte,10102,16,S4,End,0,4,0,25,-1
LeConte,10102,17,S2,Start,25,1,10,25,0
LeConte,10102,17,S2,End,11,2,10,25,-0.56
LeConte,10102,17,S3,Start,25,2,10,25,0
LeConte,10102,17,S3,End,10,3,10,25,-0.6
LeConte,10102,17,S4,Start,25,3,10,25,0
LeConte,10102,17,S4,End,0,4,10,25,-1
Spur,10475,1,S2,Start,250,1,20,250,0
Spur,10475,1,S2,End,26,2,20,250,-0.896
Spur,10475,1,S3,Start,250,2,20,250,0
Spur,10475,1,S3,End,51,3,20,250,-0.796
Spur,10475,1,S4,Start,250,3,20,250,0
Spur,10475,1,S4,End,133,4,20,250,-0.468
Spur,10475,2,S2,Start,25,1,20,25,0
Spur,10475,2,S2,End,3,2,20,25,-0.88
Spur,10475,2,S3,Start,25,2,20,25,0
Spur,10475,2,S3,End,11,3,20,25,-0.56
Spur,10475,2,S4,Start,25,3,20,25,0
Spur,10475,2,S4,End,21,4,20,25,-0.16
Spur,10475,3,S2,Start,125,1,2,125,0
Spur,10475,3,S2,End,11,2,2,125,-0.912
Spur,10475,3,S3,Start,125,2,2,125,0
Spur,10475,3,S3,End,96,3,2,125,-0.232
