"","LakeID","CageNumber","SampleDate","GosnerStage","TadpoleTx","Block","PpnChange"
"1",10102,1,"1-Aug-09",5,20,1,0.25
"2",10102,2,"1-Aug-09",0,2,1,0
"3",10102,3,"1-Aug-09",0,2,1,0
"4",10102,6,"1-Aug-09",3,20,1,0.15
"5",10102,7,"1-Aug-09",0,2,1,0
"6",10102,8,"1-Aug-09",2,10,1,0.2
"7",10102,9,"1-Aug-09",3,20,1,0.15
"8",10102,10,"1-Aug-09",1,20,1,0.05
"9",10102,12,"1-Aug-09",1,10,1,0.1
"10",10102,13,"1-Aug-09",0,2,1,0
"11",10102,14,"1-Aug-09",0,10,1,0
"12",10102,17,"1-Aug-09",0,10,1,0
"13",10102,1,"14-Sep-09",0,20,3,0
"14",10102,2,"14-Sep-09",0,2,3,0
"15",10102,3,"14-Sep-09",0,2,3,0
"16",10102,6,"14-Sep-09",0,20,3,0
"17",10102,7,"14-Sep-09",0,2,3,0
"18",10102,8,"14-Sep-09",0,10,3,0
"19",10102,9,"14-Sep-09",0,20,3,0
"20",10102,10,"14-Sep-09",0,20,3,0
"21",10102,12,"14-Sep-09",0,10,3,0
"22",10102,13,"14-Sep-09",0,2,3,0
"23",10102,14,"14-Sep-09",0,10,3,0
"24",10102,17,"14-Sep-09",0,10,3,0
"25",10102,1,"15-Jul-09",0,20,0,0
"26",10102,2,"15-Jul-09",0,2,0,0
"27",10102,3,"15-Jul-09",0,2,0,0
"28",10102,6,"15-Jul-09",0,20,0,0
"29",10102,7,"15-Jul-09",0,2,0,0
"30",10102,8,"15-Jul-09",0,10,0,0
"31",10102,9,"15-Jul-09",0,20,0,0
"32",10102,10,"15-Jul-09",0,20,0,0
"33",10102,12,"15-Jul-09",0,10,0,0
"34",10102,13,"15-Jul-09",0,2,0,0
"35",10102,14,"15-Jul-09",0,10,0,0
"36",10102,17,"15-Jul-09",0,10,0,0
"37",10102,1,"23-Aug-09",0,20,2,0
"38",10102,2,"23-Aug-09",0,2,2,0
"39",10102,3,"23-Aug-09",0,2,2,0
"40",10102,6,"23-Aug-09",0,20,2,0
"41",10102,7,"23-Aug-09",0,2,2,0
"42",10102,8,"23-Aug-09",0,10,2,0
"43",10102,9,"23-Aug-09",0,20,2,0
"44",10102,10,"23-Aug-09",0,20,2,0
"45",10102,12,"23-Aug-09",0,10,2,0
"46",10102,13,"23-Aug-09",0,2,2,0
"47",10102,14,"23-Aug-09",0,10,2,0
"48",10102,17,"23-Aug-09",0,10,2,0
"49",10475,1,"12-Aug-09",1,20,1,0.05
"50",10475,2,"12-Aug-09",6,20,1,0.3
"51",10475,3,"12-Aug-09",1,2,1,0.5
"52",10475,4,"12-Aug-09",0,2,1,0
"53",10475,5,"12-Aug-09",3,20,1,0.15
"54",10475,7,"12-Aug-09",4,10,1,0.4
"55",10475,10,"12-Aug-09",0,2,1,0
"56",10475,11,"12-Aug-09",2,10,1,0.2
"57",10475,13,"12-Aug-09",3,10,1,0.3
"58",10475,15,"12-Aug-09",0,2,1,0
"59",10475,16,"12-Aug-09",0,10,1,0
"60",10475,17,"12-Aug-09",4,20,1,0.2
"61",10475,1,"21-Jul-09",0,20,0,0
"62",10475,2,"21-Jul-09",0,20,0,0
"63",10475,3,"21-Jul-09",0,2,0,0
"64",10475,4,"21-Jul-09",0,2,0,0
"65",10475,5,"21-Jul-09",0,20,0,0
"66",10475,7,"21-Jul-09",0,10,0,0
"67",10475,10,"21-Jul-09",0,2,0,0
"68",10475,11,"21-Jul-09",0,10,0,0
"69",10475,13,"21-Jul-09",0,10,0,0
"70",10475,15,"21-Jul-09",0,2,0,0
"71",10475,16,"21-Jul-09",0,10,0,0
"72",10475,17,"21-Jul-09",0,20,0,0
"73",10475,1,"21-Sep-09",2,20,3,0.1
"74",10475,2,"21-Sep-09",0,20,3,0
"75",10475,3,"21-Sep-09",0,2,3,0
"76",10475,4,"21-Sep-09",0,2,3,0
"77",10475,5,"21-Sep-09",2,20,3,0.1
"78",10475,7,"21-Sep-09",0,10,3,0
"79",10475,10,"21-Sep-09",0,2,3,0
"80",10475,11,"21-Sep-09",0,10,3,0
"81",10475,13,"21-Sep-09",0,10,3,0
"82",10475,15,"21-Sep-09",0,2,3,0
"83",10475,16,"21-Sep-09",0,10,3,0
"84",10475,17,"21-Sep-09",0,20,3,0
"85",10475,1,"31-Aug-09",1,20,2,0.05
"86",10475,2,"31-Aug-09",0,20,2,0
"87",10475,3,"31-Aug-09",0,2,2,0
"88",10475,4,"31-Aug-09",0,2,2,0
"89",10475,5,"31-Aug-09",2,20,2,0.1
"90",10475,7,"31-Aug-09",0,10,2,0
"91",10475,10,"31-Aug-09",0,10,2,0
"92",10475,11,"31-Aug-09",0,10,2,0
"93",10475,13,"31-Aug-09",0,10,2,0
"94",10475,15,"31-Aug-09",0,2,2,0
"95",10475,16,"31-Aug-09",1,10,2,0.1
"96",10475,17,"31-Aug-09",1,20,2,0.05
