LakeID,SampleDate,CageNumber,AnimalNumber,GosnerStage,TadpoleWeight
10102,23-Aug-09,0,1,28,2.4
10102,23-Aug-09,0,2,31,2.8
10102,23-Aug-09,0,3,31,2.8
10102,23-Aug-09,0,4,34,3.6
10102,23-Aug-09,0,5,32,3.7
10102,23-Aug-09,0,6,31,2.3
10102,23-Aug-09,0,7,34,3.6
10102,23-Aug-09,0,8,36,6.8
10102,23-Aug-09,0,9,37,4.9
10102,23-Aug-09,0,10,37,6.5
10102,23-Aug-09,0,11,39,8.8
10102,23-Aug-09,0,12,41,11.3
10102,23-Aug-09,0,13,35,5.7
10102,23-Aug-09,0,14,41,11.8
10102,23-Aug-09,0,15,35,4.9
10102,23-Aug-09,0,16,40,10
10102,23-Aug-09,0,17,38,6.6
10102,23-Aug-09,0,18,36,5.1
10102,23-Aug-09,0,19,30,3.1
10102,23-Aug-09,0,20,35,4.3
10102,23-Aug-09,0,21,35,4.8
10102,23-Aug-09,0,22,34,4.1
10102,23-Aug-09,0,23,37,5
10102,23-Aug-09,0,24,38,5.8
10102,23-Aug-09,0,25,26,0.7
10102,23-Aug-09,0,26,38,6.1
10102,23-Aug-09,0,27,36,5.1
10102,23-Aug-09,0,28,26,0.5
10102,23-Aug-09,0,29,41,11
10102,23-Aug-09,0,30,37,6.2
10475,12-Aug-09,0,1,41,4.9
10475,12-Aug-09,0,2,41,4.2
10475,12-Aug-09,0,3,41,7.1
10475,12-Aug-09,0,4,38,6.7
10475,12-Aug-09,0,5,40,5.1
10475,12-Aug-09,0,6,38,8.1
10475,12-Aug-09,0,7,37,5.9
10475,12-Aug-09,0,8,40,5.4
10475,12-Aug-09,0,9,37,5.4
10475,12-Aug-09,0,10,38,7.3
10475,12-Aug-09,0,11,39,6.4
10475,12-Aug-09,0,12,40,6.8
10475,12-Aug-09,0,13,40,6.2
10475,12-Aug-09,0,14,41,4.5
10475,12-Aug-09,0,15,37,5.4
10475,12-Aug-09,0,16,41,4.9
10475,12-Aug-09,0,17,39,6.3
10475,31-Aug-09,0,1,33,2.6
10475,31-Aug-09,0,2,33,2
10475,31-Aug-09,0,3,33,2.5
10475,31-Aug-09,0,4,32,2.9
10475,31-Aug-09,0,5,35,2.8
10475,31-Aug-09,0,6,33,2.7
10475,31-Aug-09,0,7,35,2.8
10475,31-Aug-09,0,8,35,2.6
10475,31-Aug-09,0,9,31,2.3
10475,31-Aug-09,0,10,31,2.2
10475,31-Aug-09,0,11,31,2.2
10475,31-Aug-09,0,12,31,2.1
10475,31-Aug-09,0,13,33,2.8
10475,31-Aug-09,0,14,33,2.8
10475,31-Aug-09,0,15,31,1.7
10475,31-Aug-09,0,16,31,2.3
10475,31-Aug-09,0,17,27,0.3
10475,31-Aug-09,0,18,34,3.1
10475,31-Aug-09,0,19,27,0.5
10475,31-Aug-09,0,20,28,0.4
10475,31-Aug-09,0,21,27,0.3
10475,31-Aug-09,0,22,28,0.8
10475,31-Aug-09,0,23,31,2.1
10475,31-Aug-09,0,24,41,6.2
10475,31-Aug-09,0,25,32,1.4
10475,31-Aug-09,0,26,27,0.3
10475,31-Aug-09,0,27,40,6.2
10475,31-Aug-09,0,28,35,2.7
10475,31-Aug-09,0,29,31,1.9
10475,31-Aug-09,0,30,35,2.7
10475,31-Aug-09,0,31,31,1.9
10475,21-Sep-09,0,1,31,3.5
10475,21-Sep-09,0,2,34,3
10475,21-Sep-09,0,3,34,2.7
10475,21-Sep-09,0,4,38,7.3
10475,21-Sep-09,0,5,27,0.6
10475,21-Sep-09,0,6,28,1.4
10475,21-Sep-09,0,7,31,2.3
10475,21-Sep-09,0,8,27,1.4
10475,21-Sep-09,0,9,32,2.9
10475,21-Sep-09,0,10,31,2.7
10475,21-Sep-09,0,11,33,2.4
10475,21-Sep-09,0,12,26,0.4
10475,21-Sep-09,0,13,34,3
10475,21-Sep-09,0,14,26,0.1
10475,21-Sep-09,0,15,34,3.3
10475,21-Sep-09,0,16,34,3.5
10475,21-Sep-09,0,17,31,3
10475,21-Sep-09,0,18,31,2.9
10475,21-Sep-09,0,19,26,0.5
10475,21-Sep-09,0,20,34,3.2
10475,21-Sep-09,0,21,29,3
10475,21-Sep-09,0,22,33,2.7
10475,21-Sep-09,0,23,33,3.4
10475,21-Sep-09,0,24,31,3.1
10475,21-Sep-09,0,25,38,7.1
10475,21-Sep-09,0,26,31,3.1
10475,21-Sep-09,0,27,39,3.6
10475,21-Sep-09,0,28,31,2.4
10475,21-Sep-09,0,29,31,2.4
10475,21-Sep-09,0,30,31,2.2
10102,15-Jul-09,1,1,37,8.2
10102,15-Jul-09,1,2,38,7.6
10102,15-Jul-09,1,3,31,2.6
10102,15-Jul-09,1,4,35,3.8
10102,15-Jul-09,1,5,31,3.2
10102,15-Jul-09,1,6,31,2.6
10102,15-Jul-09,1,7,34,2.9
10102,15-Jul-09,1,8,35,3.2
10102,15-Jul-09,1,9,34,3.1
10102,15-Jul-09,1,10,35,3.5
10102,15-Jul-09,1,11,33,4.1
10102,15-Jul-09,1,12,35,3
10102,15-Jul-09,1,13,32,2.9
10102,15-Jul-09,1,14,37,7.5
10102,15-Jul-09,1,15,37,7.1
10102,15-Jul-09,1,16,35,2.7
10102,15-Jul-09,1,17,35,3.2
10102,15-Jul-09,1,18,32,2.7
10102,15-Jul-09,1,19,37,7.8
10102,15-Jul-09,1,20,35,3.4
10102,15-Jul-09,2,1,31,3.2
10102,15-Jul-09,2,2,35,3.7
10102,15-Jul-09,3,1,31,2.9
10102,15-Jul-09,3,2,34,3.5
10102,15-Jul-09,6,1,36,3.5
10102,15-Jul-09,6,2,35,3.4
10102,15-Jul-09,6,3,35,3.3
10102,15-Jul-09,6,4,32,2.9
10102,15-Jul-09,6,5,35,3.8
10102,15-Jul-09,6,6,31,2.6
10102,15-Jul-09,6,7,35,3.3
10102,15-Jul-09,6,8,30,2.4
10102,15-Jul-09,6,9,35,3.2
10102,15-Jul-09,6,10,31,3
10102,15-Jul-09,6,11,36,3.1
10102,15-Jul-09,6,12,35,3.9
10102,15-Jul-09,6,13,38,6.2
