TankNumber,TileNumber,FilterNumber,SampleDate,FilterWt,DryWt,AshedWt,AFDM
4,1,1,7-Jul-10,0.1183,0.1197,0.1189,0.0008
4,2,1,7-Jul-10,0.1187,0.12,0.1195,0.0005
4,3,1,7-Jul-10,0.1189,0.1199,0.1196,0.0003
4,4,1,7-Jul-10,0.1184,0.1193,0.1187,0.0006
4,5,1,7-Jul-10,0.1195,0.1228,0.1212,0.0016
7,1,1,7-Jul-10,0.1205,0.1247,0.1232,0.0015
7,2,1,7-Jul-10,0.1199,0.121,0.1202,0.0008
7,3,1,7-Jul-10,0.1197,0.1235,0.1222,0.0013
7,4,1,7-Jul-10,0.1183,0.1224,0.1212,0.0012
7,5,1,7-Jul-10,0.1206,0.1235,0.1221,0.0014
11,1,1,7-Jul-10,0.1199,0.1212,0.1196,0.0016
11,2,1,7-Jul-10,0.1194,0.1204,0.1195,0.0009
11,3,1,7-Jul-10,0.1203,0.1216,0.1206,0.001
11,4,1,7-Jul-10,0.1211,0.1312,0.1291,0.0021
11,5,1,7-Jul-10,0.1188,0.1228,0.1213,0.0015
13,1,1,7-Jul-10,0.1202,0.1203,0.1199,0.0004
13,2,1,7-Jul-10,0.1199,0.1226,0.1213,0.0013
13,3,1,7-Jul-10,0.1195,0.1206,0.1198,0.0008
13,4,1,7-Jul-10,0.1217,0.1273,0.1225,0.0048
13,5,1,7-Jul-10,0.1186,0.1207,0.1197,0.001
4,1,1,8-Jul-10,0.1239,0.1263,0.1252,0.0011
4,2,1,8-Jul-10,0.1235,0.1255,0.1243,0.0012
4,3,1,8-Jul-10,0.1203,0.1235,0.1219,0.0016
4,4,1,8-Jul-10,0.1254,0.1289,0.1274,0.0015
4,5,1,8-Jul-10,0.1259,0.1298,0.1279,0.0019
7,3,1,8-Jul-10,0.1266,0.1282,0.1269,0.0013
7,4,1,8-Jul-10,0.1249,0.1284,0.1272,0.0012
7,5,1,8-Jul-10,0.123,0.1263,0.1252,0.0011
11,1,1,8-Jul-10,0.1282,0.1288,0.1279,0.0009
11,3,1,8-Jul-10,0.125,0.1264,0.1249,0.0015
11,4,1,8-Jul-10,0.119,0.1216,0.1202,0.0014
13,1,1,8-Jul-10,0.1244,0.1314,0.13,0.0014
13,3,1,8-Jul-10,0.1232,0.1244,0.1236,0.0008
13,4,1,8-Jul-10,0.1199,0.1211,0.1203,0.0008
13,5,1,8-Jul-10,0.1208,0.1224,0.1214,0.001
11,5,1,9-Jul-10,0.1238,0.1287,0.127,0.0017
4,1,1,9-Jul-10,0.1187,0.1228,0.1213,0.0015
4,2,1,9-Jul-10,0.1242,0.1262,0.1255,0.0007
4,3,1,9-Jul-10,0.124,0.1278,0.1262,0.0016
4,3,2,9-Jul-10,0.1254,0.1287,0.1276,0.0011
4,4,1,9-Jul-10,0.1261,0.1308,0.1292,0.0016
4,5,1,9-Jul-10,0.124,0.1268,0.1257,0.0011
7,1,1,9-Jul-10,0.1193,0.1233,0.1221,0.0012
7,2,1,9-Jul-10,0.1249,0.1316,0.1291,0.0025
7,3,1,9-Jul-10,0.1247,0.128,0.127,0.001
7,4,1,9-Jul-10,0.125,0.1261,0.1252,0.0009
7,5,1,9-Jul-10,0.1204,0.1242,0.1226,0.0016
11,1,1,9-Jul-10,0.1246,0.1257,0.1248,0.0009
11,2,1,9-Jul-10,0.1172,0.1227,0.1209,0.0018
11,4,1,9-Jul-10,0.1183,0.1206,0.1194,0.0012
13,1,1,9-Jul-10,0.1246,0.127,0.1259,0.0011
13,2,1,9-Jul-10,0.1259,0.1286,0.1277,0.0009
13,3,1,9-Jul-10,0.1248,0.127,0.1263,0.0007
13,5,1,9-Jul-10,0.1251,0.1298,0.128,0.0018
13,4,1,9-Jul-10,0.1252,0.1275,0.1265,0.001
4,1,1,11-Jul-10,0.12,0.127,0.1245,0.0025
4,2,1,11-Jul-10,0.1206,0.1282,0.1258,0.0024
4,3,1,11-Jul-10,0.1205,0.1256,0.1234,0.0022
4,4,1,11-Jul-10,0.1208,0.1253,0.1232,0.0021
4,5,1,11-Jul-10,0.1273,0.1326,0.13,0.0026
7,1,1,11-Jul-10,0.1262,0.1413,0.1387,0.0026
7,2,1,11-Jul-10,0.1254,0.1313,0.1292,0.0021
7,3,1,11-Jul-10,0.1261,0.1331,0.1306,0.0025
7,4,1,11-Jul-10,0.1255,0.1309,0.1287,0.0022
7,5,1,11-Jul-10,0.1252,0.1317,0.1292,0.0025
11,1,1,11-Jul-10,0.1189,0.125,0.1225,0.0025
11,2,1,11-Jul-10,0.1248,0.1294,0.1267,0.0027
11,3,1,11-Jul-10,0.1245,0.1307,0.1285,0.0022
11,4,1,11-Jul-10,0.1243,0.1297,0.1271,0.0026
11,5,1,11-Jul-10,0.1241,0.1294,0.1267,0.0027
13,1,1,11-Jul-10,0.1191,0.1301,0.1276,0.0025
13,2,1,11-Jul-10,0.1244,0.1286,0.1265,0.0021
13,3,1,11-Jul-10,0.1265,0.1335,0.1307,0.0028
13,4,1,11-Jul-10,0.125,0.1311,0.129,0.0021
13,5,1,11-Jul-10,0.1248,0.128,0.1261,0.0019
12,1,1,4-Aug-10,0.1259,0.1321,0.1296,0.0025
12,9,1,4-Aug-10,0.1259,0.1346,0.1305,0.0041
12,10,1,4-Aug-10,0.1264,0.1328,0.1299,0.0029
12,11,1,4-Aug-10,0.1266,0.1416,0.1356,0.006
12,12,1,4-Aug-10,0.1188,0.122,0.1199,0.0021
12,14,1,4-Aug-10,0.1259,0.1393,0.1342,0.0051
12,15,1,4-Aug-10,0.1206,0.1318,0.1269,0.0049
12,16,1,4-Aug-10,0.1247,0.1309,0.1286,0.0023
12,19,1,4-Aug-10,0.1203,0.1304,0.126,0.0044
12,24,1,4-Aug-10,0.1254,0.1329,0.129,0.0039
12,26,1,4-Aug-10,0.1246,0.1267,0.1251,0.0016
12,27,1,4-Aug-10,0.1188,0.1249,0.1213,0.0036
12,28,1,4-Aug-10,0.1193,0.1257,0.1226,0.0031
12,29,1,4-Aug-10,0.118,0.1223,0.1194,0.0029
13,3,1,4-Aug-10,0.1192,0.1219,0.1208,0.0011
13,4,1,4-Aug-10,0.1175,0.1195,0.1182,0.0013
13,9,1,4-Aug-10,0.119,0.1258,0.1228,0.003
13,10,1,4-Aug-10,0.1189,0.1226,0.1212,0.0014
13,11,1,4-Aug-10,0.119,0.1213,0.1202,0.0011
13,13,1,4-Aug-10,0.1196,0.1217,0.1207,0.001
13,17,1,4-Aug-10,0.1204,0.1269,0.1246,0.0023
13,20,1,4-Aug-10,0.1191,0.1228,0.1212,0.0016
13,22,1,4-Aug-10,0.1201,0.125,0.1227,0.0023
13,24,1,4-Aug-10,0.1187,0.1232,0.1214,0.0018
13,26,1,4-Aug-10,0.1184,0.1232,0.1211,0.0021
13,27,1,4-Aug-10,0.12,0.1247,0.1229,0.0018
13,28,1,4-Aug-10,0.1218,0.1246,0.1229,0.0017
13,29,1,4-Aug-10,0.1207,0.124,0.1227,0.0013
16,1,1,4-Aug-10,0.1177,0.1269,0.1241,0.0028
16,3,1,4-Aug-10,0.1193,0.1389,0.1342,0.0047
16,4,1,4-Aug-10,0.1194,0.1215,0.1206,0.0009
16,8,1,4-Aug-10,0.1244,0.141,0.1361,0.0049
16,9,1,4-Aug-10,0.1185,0.1244,0.1227,0.0017
16,10,1,4-Aug-10,0.1241,0.1307,0.1279,0.0028
16,18,1,4-Aug-10,0.1258,0.1516,0.1444,0.0072
16,20,1,4-Aug-10,0.1206,0.1321,0.1285,0.0036
16,21,1,4-Aug-10,0.1239,0.1353,0.1322,0.0031
16,23,1,4-Aug-10,0.1221,0.1268,0.1246,0.0022
16,26,1,4-Aug-10,0.121,0.1269,0.1241,0.0028
16,27,1,4-Aug-10,0.1191,0.124,0.1222,0.0018
16,28,1,4-Aug-10,0.1194,0.1214,0.1202,0.0012
16,29,1,4-Aug-10,0.1206,0.1256,0.1236,0.002
