TankNumber,TadpoleDensity,MayflyDensity,MayflyLength
2,0,250,2.96
2,0,250,2.819
2,0,250,4.355
2,0,250,2.414
2,0,250,2.416
2,0,250,2.205
2,0,250,2.564
2,0,250,3.381
2,0,250,2.89
2,0,250,2.591
2,0,250,3.915
4,16,250,2.595
4,16,250,3.185
4,16,250,2.962
4,16,250,2.907
4,16,250,3.19
4,16,250,2.006
4,16,250,3.275
4,16,250,2.741
4,16,250,4.589
4,16,250,3.786
4,16,250,3.65
4,16,250,2.284
4,16,250,2.659
4,16,250,3.525
4,16,250,3.594
4,16,250,2.979
4,16,250,2.815
4,16,250,3.22
4,16,250,2.67
4,16,250,2.58
4,16,250,2.679
5,0,250,3.936
5,0,250,5.919
5,0,250,4.851
5,0,250,4.386
5,0,250,5.992
5,0,250,3.946
5,0,250,4.836
5,0,250,4.359
5,0,250,3.93
5,0,250,5.265
5,0,250,5.273
5,0,250,4.658
5,0,250,4.563
5,0,250,3.946
5,0,250,6.222
5,0,250,3.452
5,0,250,4.097
5,0,250,3.731
5,0,250,6.003
5,0,250,5.456
5,0,250,5.385
5,0,250,5.235
5,0,250,4.912
5,0,250,4.168
5,0,250,4.468
5,0,250,4.186
5,0,250,5.134
5,0,250,4.615
5,0,250,5.178
5,0,250,5.439
7,16,250,4.529
7,16,250,3.741
7,16,250,4.615
7,16,250,4.72
7,16,250,5.296
7,16,250,5.138
7,16,250,4.588
7,16,250,4.611
7,16,250,3.291
7,16,250,3.482
7,16,250,2.901
7,16,250,4.408
7,16,250,3.48
7,16,250,4.897
7,16,250,5.288
7,16,250,5.011
7,16,250,3.898
7,16,250,2.803
7,16,250,4.139
7,16,250,4.131
7,16,250,5.499
7,16,250,5.143
7,16,250,3.197
7,16,250,4.422
7,16,250,3.344
7,16,250,5.125
7,16,250,4.242
7,16,250,3.723
7,16,250,3.936
7,16,250,3.646
9,0,250,4.566
9,0,250,4.044
9,0,250,4.479
9,0,250,5.157
9,0,250,5.077
9,0,250,5.236
9,0,250,4.598
9,0,250,4.007
9,0,250,4.023
9,0,250,3.017
9,0,250,4.245
9,0,250,4.876
9,0,250,4.012
9,0,250,4.264
9,0,250,6.045
9,0,250,4.952
9,0,250,4.165
9,0,250,4.88
9,0,250,4.582
9,0,250,5.103
9,0,250,4.54
9,0,250,4.469
9,0,250,3.675
9,0,250,3.905
9,0,250,4.176
9,0,250,5.152
9,0,250,4.343
9,0,250,5.032
9,0,250,4.927
9,0,250,4.182
11,16,250,4.259
11,16,250,2.766
11,16,250,3.854
11,16,250,3.656
11,16,250,6.078
11,16,250,2.804
11,16,250,2.775
11,16,250,2.367
11,16,250,2.963
11,16,250,3.087
11,16,250,3.584
11,16,250,2.757
11,16,250,4.359
11,16,250,4.867
11,16,250,3.352
11,16,250,3.415
11,16,250,3.35
11,16,250,2.58
11,16,250,3.337
11,16,250,3.172
11,16,250,3.405
11,16,250,5.464
13,16,250,4.483
13,16,250,4.565
13,16,250,5.275
13,16,250,4.563
13,16,250,4.365
13,16,250,4.775
13,16,250,4.314
13,16,250,3.132
13,16,250,4.536
13,16,250,4.57
13,16,250,4.183
13,16,250,4.788
13,16,250,3.783
13,16,250,4.386
13,16,250,3.901
16,0,250,5.172
16,0,250,3.774
16,0,250,2.571
16,0,250,5.569
16,0,250,4.924
16,0,250,3.88
16,0,250,5.122
16,0,250,4.27
16,0,250,4.377
16,0,250,3.935
16,0,250,4.337
16,0,250,5.159
16,0,250,4.014
16,0,250,3.789
16,0,250,5.204
