TankNumber,SampleDate,Time,TadpoleDensity,SampleID,WaterSurfTemp,Nitrate,Nitrate_Nitrite,Nitrite,Ammonia,
1,14-Aug-10,10:45,0,TCS3138,17.7,0.07,0.40,0.33,1.24,
1,14-Aug-10,16:19,0,TCS3153,20.6,0.07,0.34,0.28,3.31,
1,15-Aug-10,10:37,0,TCS3170,18,0.04,0.21,0.17,0.83,
1,15-Aug-10,16:31,0,TCS3186,21.3,0.07,0.29,0.22,1.93,
1,16-Aug-10,10:12,0,TCS3202,18.3,0.06,0.19,0.13,1.59,
1,16-Aug-10,17:07,0,TCS3218,21.6,0.05,0.17,0.12,0.40,
1,17-Aug-10,10:41,0,TCS3222,20,0.07,0.25,0.18,2.67,
1,17-Aug-10,16:16,0,TCS3247,21.1,0.06,0.30,0.25,1.94,
2,14-Aug-10,10:48,0,TCS3139,17.3,0.05,0.22,0.16,0.24,
2,14-Aug-10,16:22,0,TCS3154,20.1,0.03,0.25,0.22,0.49,
2,15-Aug-10,10:42,0,TCS3171,17.7,0.06,0.35,0.29,0.52,
2,15-Aug-10,16:40,0,TCS3187,21,0.07,0.15,0.08,0.37,
2,16-Aug-10,10:28,0,TCS3201,18.2,0.06,0.15,0.09,0.45,
2,16-Aug-10,17:25,0,TCS3219,21.6,0.06,0.22,0.15,1.32,
2,17-Aug-10,10:59,0,TCS3221,20,0.05,0.36,0.31,0.92,
2,17-Aug-10,16:29,0,TCS3248,20.4,0.04,0.40,0.36,1.79,
3,14-Aug-10,11:17,16,TCS3140,17.7,0.05,0.20,0.15,0.42,
3,14-Aug-10,16:25,16,TCS3155,20.3,0.03,0.28,0.24,0.66,
3,15-Aug-10,10:45,16,TCS3172,17.8,0.07,0.25,0.17,0.87,
3,15-Aug-10,16:55,16,TCS3188,21.4,0.06,0.18,0.12,0.53,
3,16-Aug-10,10:47,16,TCS3204,18.3,0.05,0.18,0.13,0.66,
3,16-Aug-10,17:38,16,TCS3220,22.3,0.04,0.19,0.15,1.25,
3,17-Aug-10,11:16,16,TCS3223,20,0.03,0.25,0.22,0.83,
3,17-Aug-10,16:38,16,TCS3249,20.3,0.03,0.22,0.19,0.99,
4,14-Aug-10,12:09,16,TCS3141,18.4,0.08,0.21,0.13,2.23,
4,14-Aug-10,17:12,16,TCS3156,19.8,0.06,0.25,0.19,3.61,
4,15-Aug-10,11:20,16,TCS3173,18.1,0.10,0.28,0.18,2.60,
