LakeID,SampleDate,Cage#,GenusSpp,MFLength,FoilWt,DryWt,AshMass,AFDM
10102,15-Jul-09,0,Ameletus spp.,11.95,0.0545,0.0604,0.0554,0.005
10102,15-Jul-09,0,Ameletus spp.,7.1,0.0449,0.0458,0.0451,0.0007
10102,15-Jul-09,0,Ameletus spp.,11.4,0.0513,0.0572,0.0524,0.0048
10102,15-Jul-09,0,Ameletus spp.,6.3,0.0474,0.0481,0.0476,0.0005
10102,15-Jul-09,0,Ameletus spp.,7.5,0.0461,0.048,0.0464,0.0016
10102,15-Jul-09,0,Ameletus spp.,6.95,0.0342,0.0358,0.0347,0.0011
10102,15-Jul-09,0,Ameletus spp.,7.2,0.0441,0.0455,0.0444,0.0011
10102,15-Jul-09,0,Ameletus spp.,9.4,0.0441,0.047,0.0445,0.0025
10102,15-Jul-09,0,Ameletus spp.,5.6,0.0253,0.0263,0.0254,0.0009
10102,15-Jul-09,0,Ameletus spp.,10.1,0.034,0.037,0.0346,0.0024
10102,15-Jul-09,0,Ameletus spp.,8.4,0.0365,0.0386,0.0369,0.0017
10102,15-Jul-09,0,Ameletus spp.,5.5,0.0226,0.0234,0.0229,0.0005
10102,15-Jul-09,0,Ameletus spp.,9.4,0.0269,0.0304,0.0275,0.0029
10102,15-Jul-09,0,Ameletus spp.,6.5,0.035,0.0361,0.0351,0.001
10102,15-Jul-09,0,Ameletus spp.,7.5,0.0304,0.0324,0.0308,0.0016
10102,15-Jul-09,0,Ameletus spp.,10.3,0.024,0.0284,0.025,0.0034
10102,15-Jul-09,0,Ameletus spp.,8.8,0.0315,0.0339,0.0319,0.002
10102,15-Jul-09,0,Ameletus spp.,8.35,0.03,0.0324,0.0305,0.0019
10102,15-Jul-09,0,Ameletus spp.,8.8,0.0254,0.0283,0.0262,0.0021
10102,15-Jul-09,0,Ameletus spp.,6.4,0.0278,0.029,0.0284,0.0006
10102,15-Jul-09,0,Ameletus spp.,8.7,0.024,0.0268,0.0249,0.0019
10102,15-Jul-09,0,Ameletus spp.,6.9,0.0261,0.0274,0.0266,0.0008
10102,15-Jul-09,0,Ameletus spp.,5.2,0.0254,0.0258,0.0259,0
10102,15-Jul-09,0,Ameletus spp.,6.9,0.0276,0.0289,0.028,0.0009
10102,15-Jul-09,0,Ameletus spp.,7.1,0.0243,0.0258,0.0246,0.0012
10102,15-Jul-09,0,Ameletus spp.,5.3,0.0303,0.0311,0.0305,0.0006
10102,15-Jul-09,0,Ameletus spp.,5.8,0.0228,0.0239,0.0231,0.0008
10102,15-Jul-09,0,Ameletus spp.,10.1,0.0266,0.0307,0.0273,0.0034
10102,15-Jul-09,0,Ameletus spp.,6.9,0.027,0.0283,0.0272,0.0011
10102,15-Jul-09,0,Ameletus spp.,5.1,0.0209,0.0213,0.021,0.0003
10102,15-Jul-09,0,Ameletus spp.,6,0.0209,0.0219,0.0215,0.0004
10102,15-Jul-09,0,Ameletus spp.,5,0.0215,0.0222,0.0217,0.0005
10102,15-Jul-09,0,Ameletus spp.,8.6,0.0255,0.0288,0.0266,0.0022
10102,15-Jul-09,0,Ameletus spp.,9.2,0.0221,0.0256,0.0231,0.0025
10102,15-Jul-09,0,Ameletus spp.,8.5,0.024,0.0264,0.0245,0.0019
10102,15-Jul-09,0,Ameletus spp.,9.2,0.0234,0.0269,0.0242,0.0027
10102,15-Jul-09,0,Ameletus spp.,7.3,0.0258,0.0272,0.026,0.0012
10102,15-Jul-09,0,Ameletus spp.,6.2,0.0288,0.0298,0.0285,0.0013
10102,15-Jul-09,0,Ameletus spp.,7.6,0.0351,0.037,0.0355,0.0015
10102,15-Jul-09,0,Ameletus spp.,5.4,0.0298,0.0305,0.03,0.0005
10102,15-Jul-09,0,Ameletus spp.,10.7,0.0263,0.0321,0.0277,0.0044
10102,15-Jul-09,0,Ameletus spp.,7,0.0234,0.0249,0.0238,0.0011
10102,15-Jul-09,0,Ameletus spp.,8.5,0.0211,0.0241,0.0221,0.002
10102,15-Jul-09,0,Ameletus spp.,8,0.0303,0.0323,0.0304,0.0019
