boat,boatwt,spp,length,dm,am,AFDM,lake,date,cage
139,0.0221,Ameletus,7.7,0.0235,0.0222,0.0013,10102,1-Aug,0
106,0.033,Ameletus,5.5,0.0336,0.0334,0.0002,10102,1-Aug,0
122,0.0249,Ameletus,7.2,0.0259,0.025,0.0009,10102,1-Aug,0
111,0.0309,Ameletus,7.5,0.0328,0.0311,0.0017,10102,1-Aug,0
68,0.0232,Ameletus,8.1,0.025,0.0236,0.0014,10102,1-Aug,0
98,0.0252,Ameletus,7.9,0.0268,0.0254,0.0014,10102,1-Aug,0
96,0.0256,Ameletus,7.4,0.027,0.0256,0.0014,10102,1-Aug,0
94,0.0217,Ameletus,9.2,0.0249,0.0223,0.0026,10102,1-Aug,0
132,0.0245,Ameletus,9.6,0.028,0.0249,0.0031,10102,1-Aug,0
131,0.0213,Ameletus,9,0.0235,0.0214,0.0021,10102,1-Aug,0
113,0.0228,Ameletus,6.7,0.0246,0.0231,0.0015,10102,1-Aug,0
47,0.0211,Ameletus,10.5,0.0257,0.0215,0.0042,10102,1-Aug,0
21,0.0252,Ameletus,8.8,0.0277,0.0256,0.0021,10102,1-Aug,0
128,0.024,Ameletus,7.4,0.0256,0.0242,0.0014,10102,1-Aug,0
112,0.0254,Ameletus,8.9,0.0287,0.0258,0.0029,10102,1-Aug,0
130,0.0241,Ameletus,6.15,0.0259,0.0242,0.0017,10102,1-Aug,0
x3,0.0239,Ameletus,8.7,0.0272,0.0244,0.0028,10102,1-Aug,0
56,0.0266,Ameletus,11,0.0317,0.0276,0.0041,10102,1-Aug,0
137,0.026,Ameletus,8,0.0277,0.0262,0.0015,10102,1-Aug,0
54,0.0299,Ameletus,9.3,0.0327,0.0302,0.0025,10102,1-Aug,0
58,0.028,Ameletus,8.2,0.0302,0.0283,0.0019,10102,1-Aug,0
129,0.0319,Ameletus,8.6,0.0342,0.0319,0.0023,10102,1-Aug,0
44,0.0301,Ameletus,8.4,0.0322,0.0304,0.0018,10102,1-Aug,0
134,0.024,Ameletus,6.9,0.0251,0.0241,0.001,10102,1-Aug,0
144,0.03,Ameletus,7.7,0.0321,0.0303,0.0018,10102,1-Aug,0
123,0.0299,Ameletus,10,0.0333,0.0303,0.003,10102,1-Aug,0
156,0.0256,Ameletus,7.9,0.0282,0.0261,0.0021,10102,1-Aug,0
145,0.0243,Ameletus,10.1,0.028,0.0249,0.0031,10102,1-Aug,0
11,0.0247,Ameletus,10.5,0.0291,0.0254,0.0037,10102,1-Aug,0
62,0.0354,Ameletus,10.1,0.0384,0.036,0.0024,10102,1-Aug,0
46,0.0252,Ameletus,6.9,0.0268,0.0257,0.0011,10102,1-Aug,0
45,0.0256,Ameletus,6.4,0.0264,0.026,0.0004,10102,1-Aug,0
61,0.0241,Ameletus,6,0.0246,0.0243,0.0003,10102,1-Aug,0
127,0.9893,Ameletus,10,0.9934,0.9899,0.0035,10102,24-Aug,0
152,1.011,Ameletus,10,1.0137,1.0119,0.0018,10102,24-Aug,0
10,0.9926,Ameletus,8.2,0.9939,0.992,0.0013,10102,24-Aug,0
125,0.9959,Ameletus,7.8,0.9972,0.9961,0.0011,10102,24-Aug,0
65,0.9995,Ameletus,9.7,1.0028,0.9997,0.0031,10102,24-Aug,0
108,0.9701,Ameletus,10.9,0.9751,0.9712,0.0039,10102,24-Aug,0
119,1.0192,Ameletus,9.7,1.0219,1.0189,0.0027,10102,24-Aug,0
110,1.0013,Ameletus,9.6,1.004,1.0016,0.0024,10102,24-Aug,0
154,1.0088,Ameletus,11.1,1.0141,1.0099,0.0042,10102,24-Aug,0
149,0.9995,Ameletus,9.3,1.0038,1.001,0.0028,10102,24-Aug,0
82,1.0002,Ameletus,8.8,1.0024,1,0.0022,10102,24-Aug,0
20,1.0163,Ameletus,11.5,1.0225,1.0162,0.0062,10102,24-Aug,0
83,1.0031,Ameletus,8.7,1.0049,1.0034,0.0015,10102,24-Aug,0
143,0.9712,Ameletus,8.3,0.9728,0.9711,0.0016,10102,24-Aug,0
99,1.0285,Ameletus,8.6,1.0304,1.0283,0.0019,10102,24-Aug,0
142,1.027,Ameletus,11.5,1.0314,1.0275,0.0039,10102,24-Aug,0
86,0.9945,Ameletus,8.1,0.9954,0.9942,0.0009,10102,24-Aug,0
95,0.9668,Ameletus,11,0.9705,0.9672,0.0033,10102,24-Aug,0
49,0.9954,Ameletus,10.6,0.9997,0.9962,0.0035,10102,24-Aug,0
57,1.0191,Ameletus,9.3,1.0229,1.0193,0.0036,10102,24-Aug,0
50,0.9899,Ameletus,8.6,0.9925,0.9904,0.0021,10102,24-Aug,0
66,1.0018,Ameletus,11,1.0074,1.0025,0.0049,10102,24-Aug,0
24,0.9995,Ameletus,11.8,1.0047,1.0002,0.0045,10102,24-Aug,0
69,0.967,Ameletus,9.2,0.9706,0.9673,0.0033,10102,24-Aug,0
63,0.9997,Ameletus,9.6,1.0025,1.0004,0.0021,10102,24-Aug,0
41,1.0197,Ameletus,10.9,1.0242,1.0198,0.0044,10102,24-Aug,0
28,1.0032,Ameletus,10.4,1.0064,1.0037,0.0027,10102,24-Aug,0
116,0.9991,Ameletus,9.4,1.0015,0.9995,0.002,10102,24-Aug,0
117,0.9858,Ameletus,9.5,0.9889,0.9861,0.0028,10102,24-Aug,0
40,1.0144,Ameletus,10.5,1.021,1.0149,0.0061,10102,24-Aug,0
133,1.0073,Ameletus,9.1,1.0101,1.0079,0.0022,10102,24-Aug,0
34,1.0049,Ameletus,9.3,1.0081,1.0053,0.0028,10102,24-Aug,0
124,0.991,Ameletus,9.5,0.9939,0.9912,0.0027,10102,24-Aug,0
33,1.0146,Ameletus,14,1.0208,1.0157,0.0051,10102,24-Aug,0
118,0.9938,Ameletus,10.1,0.9968,0.9943,0.0025,10102,24-Aug,0
146,0.9923,Ameletus,10.5,0.9966,0.9933,0.0033,10102,24-Aug,0
147,0.9868,Ameletus,10,0.9901,0.9873,0.0028,10102,24-Aug,0
150,0.9855,Ameletus,9.7,0.9895,0.986,0.0035,10102,24-Aug,0
76,0.9997,Ameletus,9.2,1.0036,1.0003,0.0033,10102,24-Aug,0
7,0.977,Ameletus,10,0.9796,0.9773,0.0023,10102,24-Aug,0
18,0.997,Ameletus,9,0.9995,0.9976,0.0019,10102,24-Aug,0
85,1.0102,Ameletus,9.3,1.0125,1.0106,0.0019,10102,24-Aug,0
