ID,LakeID,SampleDate,Cage.,GenusSpp,MFLength,FoilWt,DryWt,AshMass,DM-Foil,AM-Foil,AFDM
1,10102,40009,0,Ameletus spp.,11.95,0.0545,0.0604,0.0554,0.0059,0.0009,0.005
2,10102,40009,0,Ameletus spp.,7.1,0.0449,0.0458,0.0451,0.0009,0.0002,0.0007
3,10102,40009,0,Ameletus spp.,11.4,0.0513,0.0572,0.0524,0.0059,0.0011,0.0048
4,10102,40009,0,Ameletus spp.,6.3,0.0474,0.0481,0.0476,0.0007,0.0002,0.0005
5,10102,40009,0,Ameletus spp.,7.5,0.0461,0.048,0.0464,0.0019,0.0003,0.0016
6,10102,40009,0,Ameletus spp.,6.95,0.0342,0.0358,0.0347,0.0016,0.0005,0.0011
7,10102,40009,0,Ameletus spp.,7.2,0.0441,0.0455,0.0444,0.0014,0.0003,0.0011
8,10102,40009,0,Ameletus spp.,9.4,0.0441,0.047,0.0445,0.0029,0.0004,0.0025
9,10102,40009,0,Ameletus spp.,5.6,0.0253,0.0263,0.0254,0.001,1E-04,0.0009
10,10102,40009,0,Ameletus spp.,10.1,0.034,0.037,0.0346,0.003,0.0006,0.0024
11,10102,40009,0,Ameletus spp.,8.4,0.0365,0.0386,0.0369,0.0021,0.0004,0.0017
12,10102,40009,0,Ameletus spp.,5.5,0.0226,0.0234,0.0229,0.0008,0.0003,0.0005
13,10102,40009,0,Ameletus spp.,9.4,0.0269,0.0304,0.0275,0.0035,0.0006,0.0029
14,10102,40009,0,Ameletus spp.,6.5,0.035,0.0361,0.0351,0.0011,1E-04,0.001
15,10102,40009,0,Ameletus spp.,7.5,0.0304,0.0324,0.0308,0.002,0.0004,0.0016
16,10102,40009,0,Ameletus spp.,10.3,0.024,0.0284,0.025,0.0044,0.001,0.0034
17,10102,40009,0,Ameletus spp.,8.8,0.0315,0.0339,0.0319,0.0024,0.0004,0.002
18,10102,40009,0,Ameletus spp.,8.35,0.03,0.0324,0.0305,0.0024,0.0005,0.0019
19,10102,40009,0,Ameletus spp.,8.8,0.0254,0.0283,0.0262,0.0029,0.0008,0.0021
20,10102,40009,0,Ameletus spp.,6.4,0.0278,0.029,0.0284,0.0012,0.0006,0.0006
21,10102,40009,0,Ameletus spp.,8.7,0.024,0.0268,0.0249,0.0028,0.0009,0.0019
22,10102,40009,0,Ameletus spp.,6.9,0.0261,0.0274,0.0266,0.0013,0.0005,0.0008
23,10102,40009,0,Ameletus spp.,5.2,0.0254,0.0258,0.0259,0.0004,0.0005,0
24,10102,40009,0,Ameletus spp.,6.9,0.0276,0.0289,0.028,0.0013,0.0004,0.0009
25,10102,40009,0,Ameletus spp.,7.1,0.0243,0.0258,0.0246,0.0015,0.0003,0.0012
26,10102,40009,0,Ameletus spp.,5.3,0.0303,0.0311,0.0305,0.0008,0.0002,0.0006
27,10102,40009,0,Ameletus spp.,5.8,0.0228,0.0239,0.0231,0.0011,0.0003,0.0008
28,10102,40009,0,Ameletus spp.,10.1,0.0266,0.0307,0.0273,0.0041,0.0007,0.0034
29,10102,40009,0,Ameletus spp.,6.9,0.027,0.0283,0.0272,0.0013,0.0002,0.0011
30,10102,40009,0,Ameletus spp.,5.1,0.0209,0.0213,0.021,0.0004,0.0001,0.0003
31,10102,40009,0,Ameletus spp.,6,0.0209,0.0219,0.0215,0.001,0.0006,0.0004
32,10102,40009,0,Ameletus spp.,5,0.0215,0.0222,0.0217,0.0007,0.0002,0.0005
33,10102,40009,0,Ameletus spp.,8.6,0.0255,0.0288,0.0266,0.0033,0.0011,0.0022
34,10102,40009,0,Ameletus spp.,9.2,0.0221,0.0256,0.0231,0.0035,0.001,0.0025
35,10102,40009,0,Ameletus spp.,8.5,0.024,0.0264,0.0245,0.0024,0.0005,0.0019
36,10102,40009,0,Ameletus spp.,9.2,0.0234,0.0269,0.0242,0.0035,0.0008,0.0027
37,10102,40009,0,Ameletus spp.,7.3,0.0258,0.0272,0.026,0.0014,0.0002,0.0012
38,10102,40009,0,Ameletus spp.,6.2,0.0288,0.0298,0.0285,0.001,0,0.001
39,10102,40009,0,Ameletus spp.,7.6,0.0351,0.037,0.0355,0.0019,0.0004,0.0015
40,10102,40009,0,Ameletus spp.,5.4,0.0298,0.0305,0.03,0.0007,0.0002,0.0005
41,10102,40009,0,Ameletus spp.,10.7,0.0263,0.0321,0.0277,0.0058,0.0014,0.0044
42,10102,40009,0,Ameletus spp.,7,0.0234,0.0249,0.0238,0.0015,0.0004,0.0011
43,10102,40009,0,Ameletus spp.,8.5,0.0211,0.0241,0.0221,0.003,0.001,0.002
44,10102,40009,0,Ameletus spp.,8,0.0303,0.0323,0.0304,0.002,1E-04,0.0019
45,10102,40009,0,Ameletus spp.,7.3,0.0241,0.0256,0.0244,0.0015,0.0003,0.0012
46,10102,40009,0,Ameletus spp.,8.4,0.0262,0.0287,0.0267,0.0025,0.0005,0.002
47,10102,40009,0,Ameletus spp.,6,0.0299,0.031,0.0302,0.0011,0.0003,0.0008
48,10102,40009,0,Ameletus spp.,8.6,0.0296,0.0322,0.0303,0.0026,0.0007,0.0019
49,10102,40009,0,Ameletus spp.,5.6,0.0257,0.0264,0.0261,0.0007,0.0004,0.0003
50,10102,40026,0,Ameletus spp.,9.2,0.0393,0.0423,0.0397,0.003,0.0004,0.0026
51,10102,40026,0,Ameletus spp.,9.5,0.0251,0.0278,0.0254,0.0027,0.0003,0.0024
52,10102,40026,0,Ameletus spp.,9.8,0.0384,0.0416,0.0391,0.0032,0.0007,0.0025
53,10102,40026,0,Ameletus spp.,8.8,0.0263,0.0294,0.0268,0.0031,0.0005,0.0026
54,10102,40026,0,Ameletus spp.,8.2,0.0249,0.0267,0.0251,0.0018,0.0002,0.0016
55,10102,40026,0,Ameletus spp.,9.1,0.0225,0.0252,0.0233,0.0027,0.0008,0.0019
56,10102,40026,0,Ameletus spp.,9.7,0.0253,0.0286,0.0259,0.0033,0.0006,0.0027
57,10102,40026,0,Ameletus spp.,7,0.0252,0.0272,0.0256,0.002,0.0004,0.0016
58,10102,40026,0,Ameletus spp.,10,0.0211,0.0245,0.0215,0.0034,0.0004,0.003
59,10102,40026,0,Ameletus spp.,9.1,0.0274,0.0302,0.028,0.0028,0.0006,0.0022
60,10102,40026,0,Ameletus spp.,8.9,0.0228,0.0258,0.0232,0.003,0.0004,0.0026
61,10102,40026,0,Ameletus spp.,6.9,0.0298,0.031,0.0301,0.0012,0.0003,0.0009
62,10102,40026,0,Ameletus spp.,7.6,0.0238,0.0254,0.024,0.0016,0.0002,0.0014
63,10102,40026,0,Ameletus spp.,8.1,0.028,0.0298,0.0282,0.0018,0.0002,0.0016
64,10102,40026,0,Ameletus spp.,12,0.0283,0.0337,0.0293,0.0054,0.001,0.0044
65,10102,40026,0,Ameletus spp.,8.5,0.0219,0.0239,0.0221,0.002,0.0002,0.0018
66,10102,40026,0,Ameletus spp.,8.5,0.0306,0.0332,0.0311,0.0026,0.0005,0.0021
67,10102,40026,0,Ameletus spp.,8.2,0.0333,0.0355,0.0337,0.0022,0.0004,0.0018
68,10102,40026,0,Ameletus spp.,9.8,0.0244,0.0284,0.0249,0.004,0.0005,0.0035
