"LakeName","SampleNumber","CageNumber","ExperimentalAFDM","TadDens","MFDens","Silt","Radiation","GenusSpp","MFLength"
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",5.90
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",7.10
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",4.40
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",6.41
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",5.10
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",3.90
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",5.90
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",5.00
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",5.60
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",5.00
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",6.70
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",6.90
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",5.50
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",7.50
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",6.70
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",6.20
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",6.40
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",6.10
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",5.20
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",5.50
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",4.80
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",5.00
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",3.40
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",6.30
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",4.80
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",3.30
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",6.20
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",5.10
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",5.70
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",10.40
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",6.30
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",10.00
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",9.60
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",10.90
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",10.90
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",11.00
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",10.00
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",10.30
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",9.90
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",10.70
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",9.80
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Callibaetis spp.",6.30
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",9.90
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",10.40
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",5.80
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",9.70
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",7.10
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",9.20
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",7.10
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",6.30
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",9.70
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",8.70
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",9.80
"LeConte","S4",1,4.0e-03,20,125,0.00,1950,"Ameletus spp.",10.10
