Species, TadpoleDensity, Length
ameletus,20,8.6
ameletus,20,8.5
ameletus,20,8.6
ameletus,20,8
ameletus,20,7.9
ameletus,20,7.6
ameletus,20,9.2
ameletus,20,8.8
ameletus,20,8.3
ameletus,20,9
ameletus,20,8.4
ameletus,20,8.2
ameletus,20,7.3
ameletus,20,8.7
ameletus,20,7.9
ameletus,20,9
ameletus,20,7.6
ameletus,20,8.4
ameletus,20,9.4
ameletus,20,7.9
ameletus,20,8.2
ameletus,20,7.2
ameletus,20,8.8
ameletus,20,7.3
ameletus,20,5.2
ameletus,20,6.8
ameletus,20,7.6
ameletus,20,7.8
ameletus,20,8
ameletus,20,8.2
ameletus,0,9
ameletus,0,9.1
ameletus,0,8.9
ameletus,0,9.5
ameletus,0,9.4
ameletus,0,8.1
ameletus,0,8.4
ameletus,0,7.9
ameletus,0,9.2
ameletus,0,8.2
ameletus,0,7.8
ameletus,0,6.3
ameletus,0,8.4
ameletus,0,8.2
ameletus,0,8.8
ameletus,0,7.6
ameletus,0,8.9
ameletus,0,8.1
ameletus,0,9.5
ameletus,0,8.3
ameletus,0,8.3
ameletus,0,8.9
ameletus,0,8.1
ameletus,0,9.4
ameletus,0,8.2
ameletus,0,8.2
ameletus,0,8.7
ameletus,0,8.8
ameletus,0,9.7
ameletus,0,8.5
