Species,Lake, TadpoleDensity, Length
ameletus,10475,20,5.6
ameletus,10475,20,5.6
ameletus,10475,20,5.8
ameletus,10475,20,6.2
ameletus,10475,20,5.7
ameletus,10475,20,5.6
ameletus,10475,20,6.7
ameletus,10475,20,4.5
ameletus,10475,20,4.8
ameletus,10475,20,6
ameletus,10475,20,5.4
ameletus,10475,20,4.9
ameletus,10475,20,5.4
ameletus,10475,20,6.4
ameletus,10475,20,5.1
ameletus,10475,20,6.6
ameletus,10475,20,5.9
ameletus,10475,20,4.2
ameletus,10475,20,5.5
ameletus,10475,20,5.9
ameletus,10475,20,4.9
ameletus,10475,20,4.5
ameletus,10475,20,5.5
ameletus,10475,20,5.5
ameletus,10475,20,5.2
ameletus,10475,20,5.8
ameletus,10475,20,5.4
ameletus,10475,20,5.2
ameletus,10475,20,5.9
ameletus,10475,20,6
ameletus,10475,20,5.5
ameletus,10475,20,5.7
ameletus,10475,20,5.1
ameletus,10475,20,5.2
ameletus,10475,20,5.8
ameletus,10475,20,5.5
ameletus,10475,20,6.2
ameletus,10475,20,5.4
ameletus,10475,20,5.2
ameletus,10475,20,5.6
ameletus,10475,20,1.5
callibaetis,10475,20,5.6
callibaetis,10475,20,5.3
callibaetis,10475,20,5.7
callibaetis,10475,20,4.2
callibaetis,10475,20,6.2
callibaetis,10475,20,6.4
callibaetis,10475,20,5.2
callibaetis,10475,20,6.2
callibaetis,10475,20,5.5
callibaetis,10475,20,5.8
callibaetis,10475,20,5.5
callibaetis,10475,20,5.2
callibaetis,10475,20,6.3
callibaetis,10475,20,5.2
callibaetis,10475,20,5.6
callibaetis,10475,20,4.9
callibaetis,10475,20,6.8
callibaetis,10475,20,5.6
callibaetis,10475,20,3.7
callibaetis,10475,20,3.9
callibaetis,10475,20,5.7
callibaetis,10475,20,5.2
callibaetis,10475,20,3.7
callibaetis,10475,20,6.2
callibaetis,10475,20,5.8
callibaetis,10475,20,5.2
callibaetis,10475,20,6
callibaetis,10475,20,5.6
callibaetis,10475,20,5.3
callibaetis,10475,20,6.5
callibaetis,10475,20,6.2
callibaetis,10475,20,4.8
callibaetis,10475,20,6
callibaetis,10475,20,5.3
callibaetis,10475,20,4
callibaetis,10475,20,4.7
callibaetis,10475,20,5.6
callibaetis,10475,20,3.8
callibaetis,10475,20,5.8
callibaetis,10475,20,3.5
