Length,BdExposure
22.3,Unexposed
22.5,Unexposed
22.6,Unexposed
22.6,Unexposed
22.7,Unexposed
22.8,Unexposed
23,Unexposed
23,Unexposed
23.1,Unexposed
23.3,Unexposed
23.5,Unexposed
23.7,Unexposed
23.9,Unexposed
24.1,Unexposed
24.1,Unexposed
24.2,Unexposed
24.3,Unexposed
24.3,Unexposed
24.3,Unexposed
24.3,Unexposed
24.4,Unexposed
24.4,Unexposed
24.4,Unexposed
24.5,Unexposed
24.7,Unexposed
24.7,Unexposed
24.7,Unexposed
24.7,Unexposed
24.9,Unexposed
25,Unexposed
25,Unexposed
25,Unexposed
25,Unexposed
25.1,Unexposed
25.1,Unexposed
25.2,Unexposed
25.3,Unexposed
25.3,Unexposed
25.3,Unexposed
25.4,Unexposed
25.4,Unexposed
25.8,Unexposed
25.9,Unexposed
25.9,Unexposed
25.9,Unexposed
25.9,Unexposed
25.9,Unexposed
26,Unexposed
26,Unexposed
26,Unexposed
26.1,Unexposed
26.3,Unexposed
26.4,Unexposed
26.6,Unexposed
26.7,Unexposed
26.9,Unexposed
26.9,Unexposed
26.9,Unexposed
27,Unexposed
27,Unexposed
27.4,Unexposed
27.6,Unexposed
27.9,Unexposed
38.6,Unexposed
21,Bd_Exposed
21.5,Bd_Exposed
21.6,Bd_Exposed
21.9,Bd_Exposed
22.2,Bd_Exposed
22.5,Bd_Exposed
22.5,Bd_Exposed
22.5,Bd_Exposed
22.7,Bd_Exposed
22.8,Bd_Exposed
22.8,Bd_Exposed
22.9,Bd_Exposed
22.9,Bd_Exposed
22.9,Bd_Exposed
23,Bd_Exposed
23,Bd_Exposed
23.1,Bd_Exposed
23.1,Bd_Exposed
23.2,Bd_Exposed
23.3,Bd_Exposed
23.3,Bd_Exposed
23.4,Bd_Exposed
23.5,Bd_Exposed
23.6,Bd_Exposed
23.7,Bd_Exposed
23.7,Bd_Exposed
23.9,Bd_Exposed
24,Bd_Exposed
24,Bd_Exposed
24,Bd_Exposed
24,Bd_Exposed
24,Bd_Exposed
24.1,Bd_Exposed
24.1,Bd_Exposed
24.2,Bd_Exposed
24.2,Bd_Exposed
24.3,Bd_Exposed
24.3,Bd_Exposed
24.3,Bd_Exposed
24.5,Bd_Exposed
24.58,Bd_Exposed
24.6,Bd_Exposed
24.9,Bd_Exposed
24.9,Bd_Exposed
25,Bd_Exposed
25.1,Bd_Exposed
25.2,Bd_Exposed
25.3,Bd_Exposed
25.4,Bd_Exposed
25.4,Bd_Exposed
25.5,Bd_Exposed
25.5,Bd_Exposed
25.7,Bd_Exposed
25.8,Bd_Exposed
25.9,Bd_Exposed
25.9,Bd_Exposed
25.9,Bd_Exposed
25.9,Bd_Exposed
26.2,Bd_Exposed
26.3,Bd_Exposed
26.9,Bd_Exposed
27.7,Bd_Exposed
29.3,Bd_Exposed
