,"6000000016F84221"
  ,Avg ,
"Date/Time","Temp"
 "m/d/y","C"
7/28/2008 9:00:00 AM,33.50 
7/28/2008 10:00:00 AM,46.00 
7/28/2008 11:00:00 AM,31.00 
7/28/2008 12:00:00 PM,24.00 
7/28/2008 1:00:00 PM,22.00 
7/28/2008 2:00:00 PM,20.00 
7/28/2008 3:00:00 PM,18.50 
7/28/2008 4:00:00 PM,14.00 
7/28/2008 5:00:00 PM,19.00 
7/28/2008 6:00:00 PM,16.00 
7/28/2008 7:00:00 PM,14.50 
7/28/2008 8:00:00 PM,13.00 
7/28/2008 9:00:00 PM,12.00 
7/28/2008 10:00:00 PM,10.50 
7/28/2008 11:00:00 PM,8.00 
7/29/2008 12:00:00 AM,7.50 
7/29/2008 1:00:00 AM,7.50 
7/29/2008 2:00:00 AM,7.50 
7/29/2008 3:00:00 AM,7.00 
7/29/2008 4:00:00 AM,6.50 
7/29/2008 5:00:00 AM,6.00 
7/29/2008 6:00:00 AM,6.50 
7/29/2008 7:00:00 AM,9.00 
7/29/2008 8:00:00 AM,14.00 
7/29/2008 9:00:00 AM,27.50 
7/29/2008 10:00:00 AM,34.50 
7/29/2008 11:00:00 AM,38.50 
7/29/2008 12:00:00 PM,43.50 
7/29/2008 1:00:00 PM,48.50 
7/29/2008 2:00:00 PM,46.50 
7/29/2008 3:00:00 PM,49.00 
7/29/2008 4:00:00 PM,45.50 
7/29/2008 5:00:00 PM,34.00 
7/29/2008 6:00:00 PM,21.50 
7/29/2008 7:00:00 PM,16.00 
7/29/2008 8:00:00 PM,13.00 
7/29/2008 9:00:00 PM,11.00 
7/29/2008 10:00:00 PM,10.00 
7/29/2008 11:00:00 PM,9.00 
7/30/2008 12:00:00 AM,8.00 
7/30/2008 1:00:00 AM,7.50 
7/30/2008 2:00:00 AM,7.50 
7/30/2008 3:00:00 AM,7.00 
7/30/2008 4:00:00 AM,6.50 
7/30/2008 5:00:00 AM,6.00 
7/30/2008 6:00:00 AM,5.50 
7/30/2008 7:00:00 AM,9.00 
7/30/2008 8:00:00 AM,14.00 
7/30/2008 9:00:00 AM,29.00 
7/30/2008 10:00:00 AM,36.00 
7/30/2008 11:00:00 AM,40.00 
7/30/2008 12:00:00 PM,45.00 
7/30/2008 1:00:00 PM,49.00 
7/30/2008 2:00:00 PM,47.00 
7/30/2008 3:00:00 PM,27.50 
