ID	LakeID	SampleDate	CageNumber	AnimalNumber	GosnerStage	TotalWeight	BagWeight	TadpoleWeight	TailCondition	comments
129	10102	15-Jul-09	1	1	37	15.4	7.2	8.2	na	na
130	10102	15-Jul-09	1	2	38	14.9	7.3	7.6	na	na
131	10102	15-Jul-09	1	3	31	10.2	7.6	2.6	na	na
132	10102	15-Jul-09	1	4	35	11.4	7.6	3.8	na	na
133	10102	15-Jul-09	1	5	31	11	7.8	3.2	na	na
134	10102	15-Jul-09	1	6	31	10.5	7.9	2.6	na	na
135	10102	15-Jul-09	1	7	34	10.6	7.7	2.9	na	na
136	10102	15-Jul-09	1	8	35	10.7	7.5	3.2	na	na
137	10102	15-Jul-09	1	9	34	10.9	7.8	3.1	na	na
138	10102	15-Jul-09	1	10	35	11.1	7.6	3.5	na	na
248	10102	15-Jul-09	1	11	33	11.6	7.5	4.1	na	na
249	10102	15-Jul-09	1	12	35	11.2	8.2	3	na	na
250	10102	15-Jul-09	1	13	32	11	8.1	2.9	na	na
251	10102	15-Jul-09	1	14	37	15.5	8	7.5	na	na
252	10102	15-Jul-09	1	15	37	15.1	8	7.1	na	na
253	10102	15-Jul-09	1	16	35	10.9	8.2	2.7	na	na
254	10102	15-Jul-09	1	17	35	11.4	8.2	3.2	na	na
255	10102	15-Jul-09	1	18	32	11	8.3	2.7	na	na
256	10102	15-Jul-09	1	19	37	16.1	8.3	7.8	na	na
257	10102	15-Jul-09	1	20	35	11.6	8.2	3.4	na	na
139	10102	15-Jul-09	2	1	31	10.5	7.3	3.2	na	na
140	10102	15-Jul-09	2	2	35	11	7.3	3.7	na	na
141	10102	15-Jul-09	3	1	31	9.7	6.8	2.9	na	na
142	10102	15-Jul-09	3	2	34	10.1	6.6	3.5	na	na
143	10102	15-Jul-09	6	1	36	11.2	7.7	3.5	na	na
144	10102	15-Jul-09	6	2	35	11.6	8.2	3.4	na	na
145	10102	15-Jul-09	6	3	35	11.5	8.2	3.3	na	na
146	10102	15-Jul-09	6	4	32	11.4	8.5	2.9	na	na
147	10102	15-Jul-09	6	5	35	12	8.2	3.8	na	na
148	10102	15-Jul-09	6	6	31	11.2	8.6	2.6	na	na
149	10102	15-Jul-09	6	7	35	11.8	8.5	3.3	na	na
150	10102	15-Jul-09	6	8	30	10.7	8.3	2.4	na	na
151	10102	15-Jul-09	6	9	35	12.1	8.9	3.2	na	na
152	10102	15-Jul-09	6	10	31	11.5	8.5	3	na	na
153	10102	15-Jul-09	6	11	36	11.3	8.2	3.1	na	na
154	10102	15-Jul-09	6	12	35	12.9	9	3.9	na	na
155	10102	15-Jul-09	6	13	38	15.2	9	6.2	na	na
156	10102	15-Jul-09	6	14	35	12.4	8.6	3.8	na	na
157	10102	15-Jul-09	6	15	37	14	8.7	5.3	na	na
158	10102	15-Jul-09	6	16	34	11.8	8.5	3.3	na	na
159	10102	15-Jul-09	6	17	31	11.6	8.5	3.1	na	na
160	10102	15-Jul-09	6	18	37	15.2	8.4	6.8	na	na
161	10102	15-Jul-09	6	19	35	11.6	8.1	3.5	na	na
162	10102	15-Jul-09	6	20	31	10.9	8	2.9	na	na
163	10102	15-Jul-09	7	1	31	11.5	8.9	2.6	na	na
164	10102	15-Jul-09	7	2	35	11.3	8.2	3.1	na	na
165	10102	15-Jul-09	8	1	29	10.5	8.1	2.4	na	na
166	10102	15-Jul-09	8	2	29	10.5	8.2	2.3	na	na
167	10102	15-Jul-09	8	3	37	15.2	8.8	6.4	na	na
168	10102	15-Jul-09	8	4	37	15.3	9.2	6.1	na	na
169	10102	15-Jul-09	8	5	31	11.9	9	2.9	na	na
170	10102	15-Jul-09	8	6	34	12.8	9.4	3.4	na	na
171	10102	15-Jul-09	8	7	35	12.4	9.4	3	na	na
172	10102	15-Jul-09	8	8	34	12.2	9.4	2.8	na	na
173	10102	15-Jul-09	8	9	32	12.4	9.1	3.3	na	na
174	10102	15-Jul-09	8	10	32	12.2	9.1	3.1	na	na
175	10102	15-Jul-09	9	1	38	14.3	8	6.3	na	na
176	10102	15-Jul-09	9	2	35	11.4	8.2	3.2	na	na
177	10102	15-Jul-09	9	3	32	11.5	8.4	3.1	na	na
178	10102	15-Jul-09	9	4	36	12.5	8.6	3.9	na	na
179	10102	15-Jul-09	9	5	37	13.8	8.3	5.5	na	na
180	10102	15-Jul-09	9	6	34	11	8.2	2.8	na	na
181	10102	15-Jul-09	9	7	38	14.1	8	6.1	na	na
182	10102	15-Jul-09	9	8	36	13.8	11.1	2.7	na	na
183	10102	15-Jul-09	9	9	36	12.6	9.1	3.5	na	na
184	10102	15-Jul-09	9	10	35	12.2	8.5	3.7	na	na
185	10102	15-Jul-09	9	11	37	15	8.6	6.4	na	na
186	10102	15-Jul-09	9	12	32	11.1	8.5	2.6	na	na
187	10102	15-Jul-09	9	13	31	11.3	8.2	3.1	na	na
188	10102	15-Jul-09	9	14	36	12.1	8.2	3.9	na	na
189	10102	15-Jul-09	9	15	35	11.4	8.1	3.3	na	na
190	10102	15-Jul-09	9	16	35	11.4	8.1	3.3	na	na
191	10102	15-Jul-09	9	17	31	10.8	8.3	2.5	na	na
192	10102	15-Jul-09	9	18	30	11.1	8.2	2.9	na	na
193	10102	15-Jul-09	9	19	33	11.2	8.1	3.1	na	na
194	10102	15-Jul-09	9	20	32	11	8.3	2.7	na	na
195	10102	15-Jul-09	10	1	31	9.6	7	2.6	na	na
196	10102	15-Jul-09	10	2	35	10.2	7	3.2	na	na
197	10102	15-Jul-09	10	3	31	9.8	7.9	1.9	na	na
198	10102	15-Jul-09	10	4	34	10.8	7.3	3.5	na	na
199	10102	15-Jul-09	10	5	31	9.4	7.2	2.2	na	na
200	10102	15-Jul-09	10	6	31	10.2	6.7	3.5	na	na
201	10102	15-Jul-09	10	7	37	12.7	6.9	5.8	na	na
202	10102	15-Jul-09	10	8	35	10.5	7.1	3.4	na	na
203	10102	15-Jul-09	10	9	35	10.8	7.2	3.6	na	na
204	10102	15-Jul-09	10	10	35	10.3	7.1	3.2	na	na
205	10102	15-Jul-09	10	11	35	10.5	7.1	3.4	na	na
