TankNumber,TileNumber,SampleDate,FilterWt,DryWt,AshedWt,AFDM,IM,GrowthPeriod,AFDMperMperD,IMperMperD
11,5,7/9/2010,0.1238,0.1287,0.127,0.0017,0.0032,3,0.089266961,0.168031926
11,1,7/7/2010,0.1199,0.1212,0.1196,0.0016,0,1,0.252047889,0
11,1,7/8/2010,0.1282,0.1288,0.1279,0.0009,0,2,0.070888469,0
11,1,7/9/2010,0.1246,0.1257,0.1248,0.0009,0.0002,3,0.047258979,0.010501995
11,1,7/10/2010,0.1202,0.122,0.1207,0.0013,0.0005,4,0.051197227,0.019691241
11,1,7/11/2010,0.1189,0.125,0.1225,0.0025,0.0036,5,0.078764965,0.11342155
11,2,7/7/2010,0.1194,0.1204,0.1195,0.0009,1E-04,1,0.141776938,0.015752993
11,2,7/8/2010,0.1243,0.1253,0.125,0.0003,0.0007,2,0.02362949,0.055135476
11,2,7/9/2010,0.1172,0.1227,0.1209,0.0018,0.0037,3,0.094517958,0.194286915
11,2,7/10/2010,0.12,0.1246,0.1237,0.0009,0.0037,4,0.035444234,0.145715186
11,2,7/11/2010,0.1248,0.1294,0.1267,0.0027,0.0019,5,0.085066163,0.059861374
11,3,7/7/2010,0.1203,0.1216,0.1206,0.001,0.0003,1,0.157529931,0.047258979
11,3,7/8/2010,0.125,0.1264,0.1249,0.0015,0,2,0.118147448,0
11,3,7/10/2010,0.1192,0.1236,0.1218,0.0018,0.0026,4,0.070888469,0.102394455
11,3,7/11/2010,0.1245,0.1307,0.1285,0.0022,0.004,5,0.06931317,0.126023945
11,4,7/7/2010,0.1211,0.1312,0.1291,0.0021,0.008,1,0.330812854,1.260239445
11,4,7/8/2010,0.119,0.1216,0.1202,0.0014,0.0012,2,0.110270951,0.094517958
11,4,7/9/2010,0.1183,0.1206,0.1194,0.0012,0.0011,3,0.063011972,0.057760975
11,4,7/10/2010,0.1208,0.1252,0.1233,0.0019,0.0025,4,0.074826717,0.098456207
11,4,7/11/2010,0.1243,0.1297,0.1271,0.0026,0.0028,5,0.081915564,0.088216761
11,5,7/7/2010,0.1188,0.1228,0.1213,0.0015,0.0025,1,0.236294896,0.393824827
11,5,7/8/2010,0.1203,0.1218,0.1211,0.0007,0.0008,2,0.055135476,0.063011972
11,5,7/10/2010,0.1208,0.1232,0.1221,0.0011,0.0013,4,0.043320731,0.051197227
11,5,7/11/2010,0.1241,0.1294,0.1267,0.0027,0.0026,5,0.085066163,0.081915564
13,1,7/7/2010,0.1202,0.1203,0.1199,0.0004,0,1,0.063011972,0
13,1,7/8/2010,0.1244,0.1314,0.13,0.0014,0.0056,2,0.110270951,0.441083806
13,1,7/9/2010,0.1246,0.127,0.1259,0.0011,0.0013,3,0.057760975,0.06826297
13,1,7/10/2010,0.1223,0.1325,0.1297,0.0028,0.0074,4,0.110270951,0.291430372
13,1,7/11/2010,0.1191,0.1301,0.1276,0.0025,0.0085,5,0.078764965,0.267800882
13,2,7/7/2010,0.1199,0.1226,0.1213,0.0013,0.0014,1,0.20478891,0.220541903
13,2,7/8/2010,0.1265,0.1297,0.1292,0.0005,0.0027,2,0.039382483,0.212665406
13,2,7/9/2010,0.1259,0.1286,0.1277,0.0009,0.0018,3,0.047258979,0.094517958
13,2,7/10/2010,0.1192,0.1232,0.1219,0.0013,0.0027,4,0.051197227,0.106332703
13,2,7/11/2010,0.1244,0.1286,0.1265,0.0021,0.0021,5,0.066162571,0.066162571
13,3,7/7/2010,0.1195,0.1206,0.1198,0.0008,0.0003,1,0.126023945,0.047258979
13,3,7/8/2010,0.1232,0.1244,0.1236,0.0008,0.0004,2,0.063011972,0.031505986
13,3,7/9/2010,0.1248,0.127,0.1263,0.0007,0.0015,3,0.036756984,0.078764965
13,3,7/10/2010,0.1191,0.1207,0.1203,0.0004,0.0012,4,0.015752993,0.047258979
13,3,7/11/2010,0.1265,0.1335,0.1307,0.0028,0.0042,5,0.088216761,0.132325142
13,4,7/7/2010,0.1217,0.1273,0.1225,0.0048,0.0008,1,0.756143667,0.126023945
13,4,7/8/2010,0.1199,0.1211,0.1203,0.0008,0.0004,2,0.063011972,0.031505986
13,4,7/10/2010,0.1216,0.1288,0.1267,0.0021,0.0051,4,0.082703214,0.200850662
13,4,7/11/2010,0.125,0.1311,0.129,0.0021,0.004,5,0.066162571,0.126023945
13,5,7/7/2010,0.1186,0.1207,0.1197,0.001,0.0011,1,0.157529931,0.173282924
13,5,7/8/2010,0.1208,0.1224,0.1214,0.001,0.0006,2,0.078764965,0.047258979
13,5,7/9/2010,0.1251,0.1298,0.128,0.0018,0.0029,3,0.094517958,0.152278933
13,5,7/10/2010,0.1204,0.1265,0.1245,0.002,0.0041,4,0.078764965,0.161468179
13,5,7/11/2010,0.1248,0.128,0.1261,0.0019,0.0013,5,0.059861374,0.040957782
13,4,7/9/2010,0.1252,0.1275,0.1265,0.001,0.0013,3,0.052509977,0.06826297
4,1,7/7/2010,0.1183,0.1197,0.1189,0.0008,0.0006,1,0.126023945,0.094517958
4,1,7/8/2010,0.1239,0.1263,0.1252,0.0011,0.0013,2,0.086641462,0.102394455
4,1,7/9/2010,0.1187,0.1228,0.1213,0.0015,0.0026,3,0.078764965,0.13652594
4,1,7/10/2010,0.1202,0.1244,0.1226,0.0018,0.0024,4,0.070888469,0.094517958
4,1,7/11/2010,0.12,0.127,0.1245,0.0025,0.0045,5,0.078764965,0.141776938
4,2,7/7/2010,0.1187,0.12,0.1195,0.0005,0.0008,1,0.078764965,0.126023945
4,2,7/8/2010,0.1235,0.1255,0.1243,0.0012,0.0008,2,0.094517958,0.063011972
4,2,7/9/2010,0.1242,0.1262,0.1255,0.0007,0.0013,3,0.036756984,0.06826297
4,2,7/10/2010,0.1213,0.1263,0.1242,0.0021,0.0029,4,0.082703214,0.1142092
4,2,7/11/2010,0.1206,0.1282,0.1258,0.0024,0.0052,5,0.075614367,0.163831128
4,3,7/7/2010,0.1189,0.1199,0.1196,0.0003,0.0007,1,0.047258979,0.110270951
4,3,7/8/2010,0.1203,0.1235,0.1219,0.0016,0.0016,2,0.126023945,0.126023945
4,3,7/9/2010,0.1254,0.1287,0.1276,0.0011,0.0022,3,0.057760975,0.115521949
4,3,7/9/2010,0.124,0.1278,0.1262,0.0016,0.0022,3,0.084015963,0.115521949
4,3,7/10/2010,0.1195,0.1238,0.1222,0.0016,0.0027,4,0.063011972,0.106332703
4,3,7/11/2010,0.1205,0.1256,0.1234,0.0022,0.0029,5,0.06931317,0.09136736
4,4,7/7/2010,0.1184,0.1193,0.1187,0.0006,0.0003,1,0.094517958,0.047258979
4,4,7/8/2010,0.1254,0.1289,0.1274,0.0015,0.002,2,0.118147448,0.157529931
4,4,7/9/2010,0.1261,0.1308,0.1292,0.0016,0.0031,3,0.084015963,0.162780928
4,4,7/10/2010,0.1201,0.1279,0.1254,0.0025,0.0053,4,0.098456207,0.208727158
4,4,7/11/2010,0.1208,0.1253,0.1232,0.0021,0.0024,5,0.066162571,0.075614367
4,5,7/7/2010,0.1195,0.1228,0.1212,0.0016,0.0017,1,0.252047889,0.267800882
4,5,7/8/2010,0.1259,0.1298,0.1279,0.0019,0.002,2,0.149653434,0.157529931
