TankNumber,SampleDate,SampleNumber,SubstrateType,TileNumber,FilterNumber,FilterWt,DryWt,AshedWt,AFDM,FilterVol,AFDMadjbyVol,GrowthPeriod,AFDMadjPerMperD,TadpolePDensity,MFDensity,FinalMFCount,Treatment
1,8/3/2010,S1,BottomTile,1,1,0.1212,0.1324,0.1281,0.0043,60,0.0043,8,0.084672338,0,0,0,none
1,8/3/2010,S1,BottomTile,3,1,0.1193,0.1308,0.1263,0.0045,60,0.0045,8,0.088610586,0,0,0,none
1,8/3/2010,S1,BottomTile,5,1,0.1188,0.1356,0.1287,0.0069,60,0.0069,8,0.135869565,0,0,0,none
1,8/3/2010,S1,BottomTile,8,1,0.1205,0.1319,0.1272,0.0047,60,0.0047,8,0.092548834,0,0,0,none
1,8/3/2010,S1,BottomTile,9,1,0.1198,0.126,0.1233,0.0027,60,0.0027,8,0.053166352,0,0,0,none
1,8/3/2010,S1,BottomTile,13,1,0.1198,0.1263,0.1224,0.0039,60,0.0039,8,0.076795841,0,0,0,none
1,8/3/2010,S1,BottomTile,18,1,0.12,0.1497,0.1379,0.0118,60,0.0118,8,0.232356648,0,0,0,none
1,8/3/2010,S1,BottomTile,20,1,0.1192,0.1234,0.1216,0.0018,60,0.0018,8,0.035444234,0,0,0,none
1,8/3/2010,S1,BottomTile,23,1,0.1197,0.1325,0.1273,0.0052,60,0.0052,8,0.102394455,0,0,0,none
1,8/3/2010,S1,BottomTile,25,1,0.1201,0.1244,0.1222,0.0022,60,0.0022,8,0.043320731,0,0,0,none
1,8/3/2010,S1,ShelfTile,26,1,0.1181,0.1204,0.1194,0.001,60,0.001,8,0.019691241,0,0,0,none
1,8/3/2010,S1,ShelfTile,27,1,0.119,0.1226,0.1206,0.002,60,0.002,8,0.039382483,0,0,0,none
1,8/3/2010,S1,ShelfTile,28,1,0.1212,0.1227,0.1217,0.001,60,0.001,8,0.019691241,0,0,0,none
1,8/3/2010,S1,ShelfTile,29,1,0.1189,0.1222,0.1204,0.0018,60,0.0018,8,0.035444234,0,0,0,none
1,8/3/2010,S1,ShelfTile,30,1,0.1202,0.1248,0.1229,0.0019,60,0.0019,8,0.037413359,0,0,0,none
1,8/11/2010,S2,BottomTile,1,1,0.0372,0.0407,0.0388,0.0019,60,0.0019,8,0.037413359,0,0,0,none
1,8/11/2010,S2,BottomTile,3,1,0.0338,0.0371,0.035,0.0021,60,0.0021,8,0.041351607,0,0,0,none
1,8/11/2010,S2,BottomTile,8,1,0.0359,0.0398,0.0373,0.0025,60,0.0025,8,0.049228103,0,0,0,none
