"TankNumber","TileNumber","SampleDate","SampleNumber","SubstrateType","FilterNumber","FilterWt","DryWt","AshedWt","AFDM","FilterVol","AFDMadjbyVol","GrowthPeriod","AFDMadjPerMperD","TadpolePDensity","MFDensity","FinalMFCount","Treatment"
1,2,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.12,0.12,1.9e-03,30,3.8e-03,21,0.02,0,0,0,"none"
1,4,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.14,8.2e-03,60,8.2e-03,21,0.06,0,0,0,"none"
1,6,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,0.01,60,0.01,20,0.08,0,0,0,"none"
1,7,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,5.2e-03,60,5.2e-03,20,0.04,0,0,0,"none"
1,10,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,6.6e-03,60,6.6e-03,21,0.04,0,0,0,"none"
1,11,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,4.7e-03,60,4.7e-03,20,0.03,0,0,0,"none"
1,12,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.6e-03,60,3.6e-03,20,0.02,0,0,0,"none"
1,14,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,5.7e-03,60,5.7e-03,20,0.04,0,0,0,"none"
1,15,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.12,2.9e-03,60,2.9e-03,21,0.02,0,0,0,"none"
1,16,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,5.4e-03,60,5.4e-03,20,0.04,0,0,0,"none"
1,17,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.2e-03,60,3.2e-03,21,0.02,0,0,0,"none"
1,19,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.6e-03,60,3.6e-03,7,0.08,0,0,0,"none"
1,21,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.14,6.8e-03,60,6.8e-03,20,0.05,0,0,0,"none"
1,22,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.14,8.2e-03,60,8.2e-03,20,0.06,0,0,0,"none"
1,24,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,4.4e-03,60,4.4e-03,20,0.03,0,0,0,"none"
2,2,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,6.5e-03,60,6.5e-03,21,0.04,0,250,0,"mayflies"
2,2,8/16/2010 0:00:00,"S3","BottomTile",2,0.12,0.14,0.14,6.7e-03,60,6.7e-03,21,0.05,0,250,0,"mayflies"
2,4,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,7.6e-03,60,7.6e-03,5,0.23,0,250,0,"mayflies"
2,6,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,0.01,30,0.02,21,0.15,0,250,0,"mayflies"
2,8,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.8e-03,60,2.8e-03,20,0.02,0,250,0,"mayflies"
2,9,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,5.4e-03,32,0.01,20,0.07,0,250,0,"mayflies"
2,10,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.17,0.16,0.01,60,0.01,21,0.12,0,250,0,"mayflies"
2,11,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,7.8e-03,60,7.8e-03,20,0.06,0,250,0,"mayflies"
2,13,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,8.4e-03,60,8.4e-03,4,0.33,0,250,0,"mayflies"
2,14,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,7.3e-03,60,7.3e-03,20,0.05,0,250,0,"mayflies"
2,15,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.18,0.16,0.01,59,0.01,21,0.12,0,250,0,"mayflies"
