TankNumber,SampleDate,SampleNumber,SubstrateType,TileNumber,FilterNumber,FilterWt,DryWt,AshedWt,AFDM,FilterVol,AFDMadjbyVol,GrowthPeriod,AFDMadjPerMperD,TadpolePDensity,MFDensity,FinalMFCount,Treatment
1,7/22/2010,S0,BottomTile,1,1,0.1252,0.1983,0.1786,0.0197,60,0.000328333,91,3.61E-06,0,0,0,none
1,7/22/2010,S0,BottomTile,2,1,0.1192,0.2077,0.1878,0.0199,60,0.000331667,91,3.64E-06,0,0,0,none
1,7/22/2010,S0,BottomTile,3,1,0.1265,0.2086,0.1884,0.0202,60,0.000336667,91,3.70E-06,0,0,0,none
2,7/22/2010,S0,BottomTile,1,1,0.1256,0.2604,0.2293,0.0311,60,0.000518333,91,5.70E-06,0,250,0,mayflies
2,7/22/2010,S0,BottomTile,2,1,0.1263,0.2483,0.2246,0.0237,60,0.000395,91,4.34E-06,0,250,0,mayflies
2,7/22/2010,S0,BottomTile,3,1,0.1214,0.2999,0.2652,0.0347,60,0.000578333,91,6.36E-06,0,250,0,mayflies
3,7/22/2010,S0,BottomTile,1,1,0.1249,0.1977,0.1813,0.0164,60,0.000273333,91,3.00E-06,16,0,0,tadpoles
3,7/22/2010,S0,BottomTile,2,1,0.1207,0.1747,0.1633,0.0114,60,0.00019,91,2.09E-06,16,0,0,tadpoles
3,7/22/2010,S0,BottomTile,3,1,0.124,0.1972,0.1807,0.0165,60,0.000275,91,3.02E-06,16,0,0,tadpoles
4,7/22/2010,S0,BottomTile,1,1,0.1256,0.2839,0.2567,0.0272,60,0.000453333,91,4.98E-06,16,250,18,both
4,7/24/2010,S0,BottomTile,2,1,0.127,0.3134,0.2831,0.0303,60,0.000505,93,5.43E-06,16,250,18,both
4,7/25/2010,S0,BottomTile,3,1,0.1247,0.3384,0.3018,0.0366,60,0.00061,94,6.49E-06,16,250,18,both
5,7/24/2010,S0,BottomTile,1,1,0.1184,0.3186,0.2832,0.0354,60,0.00059,93,6.34E-06,0,250,121,mayflies
5,7/24/2010,S0,BottomTile,2,1,0.1258,0.3267,0.2937,0.033,60,0.00055,93,5.91E-06,0,250,121,mayflies
5,7/24/2010,S0,BottomTile,3,1,0.1266,0.2352,0.2157,0.0195,60,0.000325,93,3.49E-06,0,250,121,mayflies
6,7/24/2010,S0,BottomTile,1,1,0.1237,0.3782,0.3401,0.0381,60,0.000635,93,6.83E-06,0,0,0,none
6,7/24/2010,S0,BottomTile,2,1,0.1186,0.2685,0.244,0.0245,60,0.000408333,93,4.39E-06,0,0,0,none
6,7/24/2010,S0,BottomTile,3,1,0.1258,0.2678,0.2443,0.0235,60,0.000391667,93,4.21E-06,0,0,0,none
7,7/24/2010,S0,BottomTile,1,1,0.1243,0.2745,0.2541,0.0204,60,0.00034,93,3.66E-06,16,250,100,both
7,7/24/2010,S0,BottomTile,2,1,0.123,0.2415,0.2249,0.0166,60,0.000276667,93,2.97E-06,16,250,100,both
7,7/24/2010,S0,BottomTile,3,1,0.1242,0.3006,0.2752,0.0254,60,0.000423333,93,4.55E-06,16,250,100,both
7,7/24/2010,S0,BottomTile,4,1,0.1186,0.1255,0.1244,0.0011,60,1.83E-05,93,1.97E-07,16,250,100,both
8,7/24/2010,S0,BottomTile,1,1,0.1236,0.2108,0.1971,0.0137,60,0.000228333,93,2.46E-06,16,0,0,tadpoles
8,7/24/2010,S0,BottomTile,2,1,0.1239,0.2089,0.1986,0.0103,60,0.000171667,93,1.85E-06,16,0,0,tadpoles
9,7/24/2010,S0,BottomTile,1,1,0.1263,0.2029,0.1823,0.0206,60,0.000343333,93,3.69E-06,0,250,76,mayflies
9,7/24/2010,S0,BottomTile,2,1,0.1278,0.2108,0.1921,0.0187,60,0.000311667,93,3.35E-06,0,250,76,mayflies
9,7/24/2010,S0,BottomTile,3,1,0.1248,0.2042,0.183,0.0212,60,0.000353333,93,3.80E-06,0,250,76,mayflies
10,7/24/2010,S0,BottomTile,1,1,0.1249,0.2146,0.1926,0.022,60,0.000366667,93,3.94E-06,16,0,0,tadpoles
10,7/24/2010,S0,BottomTile,2,1,0.1239,0.233,0.206,0.027,60,0.00045,93,4.84E-06,16,0,0,tadpoles
10,7/24/2010,S0,BottomTile,3,1,0.1249,0.2579,0.226,0.0319,60,0.000531667,93,5.72E-06,16,0,0,tadpoles
11,7/24/2010,S0,BottomTile,1,1,0.1254,0.1696,0.1598,0.0098,60,0.000163333,93,1.76E-06,16,250,7,both
11,7/24/2010,S0,BottomTile,2,1,0.1247,0.1708,0.1606,0.0102,60,0.00017,93,1.83E-06,16,250,7,both
11,7/24/2010,S0,BottomTile,3,1,0.125,0.2015,0.1887,0.0128,60,0.000213333,93,2.29E-06,16,250,7,both
12,7/24/2010,S0,BottomTile,1,1,0.1264,0.2874,0.2599,0.0275,60,0.000458333,93,4.93E-06,0,0,0,none
