TankNumber,TileNumber,FilterWt,DryWt,AshedWt,AFDM,MFDens,TadDens,TxType
1,1,0.1212,0.1324,0.1281,0.0043,0,0,no consumers
1,3,0.1193,0.1308,0.1263,0.0045,0,0,no consumers
1,5,0.1188,0.1356,0.1287,0.0069,0,0,no consumers
1,8,0.1205,0.1319,0.1272,0.0047,0,0,no consumers
1,9,0.1198,0.126,0.1233,0.0027,0,0,no consumers
1,13,0.1198,0.1263,0.1224,0.0039,0,0,no consumers
1,18,0.12,0.1497,0.1379,0.0118,0,0,no consumers
1,20,0.1192,0.1234,0.1216,0.0018,0,0,no consumers
1,23,0.1197,0.1325,0.1273,0.0052,0,0,no consumers
1,25,0.1201,0.1244,0.1222,0.0022,0,0,no consumers
1,26,0.1181,0.1204,0.1194,0.001,0,0,no consumers
1,27,0.119,0.1226,0.1206,0.002,0,0,no consumers
1,28,0.1212,0.1227,0.1217,0.001,0,0,no consumers
1,29,0.1189,0.1222,0.1204,0.0018,0,0,no consumers
1,30,0.1202,0.1248,0.1229,0.0019,0,0,no consumers
2,1,0.1199,0.1256,0.1226,0.003,250,0,MF only
2,3,0.1193,0.1335,0.1283,0.0052,250,0,MF only
2,5,0.1195,0.1262,0.1233,0.0029,250,0,MF only
2,7,0.1203,0.129,0.1255,0.0035,250,0,MF only
2,12,0.1209,0.135,0.1297,0.0053,250,0,MF only
2,17,0.1203,0.1321,0.1274,0.0047,250,0,MF only
2,19,0.1197,0.1301,0.1252,0.0049,250,0,MF only
2,21,0.1187,0.1399,0.1327,0.0072,250,0,MF only
2,23,0.1195,0.1325,0.1276,0.0049,250,0,MF only
2,24,0.1207,0.1264,0.1241,0.0023,250,0,MF only
2,26,0.1184,0.1288,0.1248,0.004,250,0,MF only
2,27,0.1198,0.1292,0.1254,0.0038,250,0,MF only
2,28,0.1183,0.1308,0.1264,0.0044,250,0,MF only
2,29,0.1174,0.1211,0.1192,0.0019,250,0,MF only
2,30,0.1186,0.124,0.1215,0.0025,250,0,MF only
3,1,0.1196,0.1221,0.1206,0.0015,0,16,Tad only
3,2,0.1212,0.1266,0.1243,0.0023,0,16,Tad only
3,3,0.1199,0.1234,0.1215,0.0019,0,16,Tad only
3,6,0.1186,0.1213,0.1201,0.0012,0,16,Tad only
3,8,0.1191,0.1221,0.1205,0.0016,0,16,Tad only
3,9,0.1208,0.1243,0.1227,0.0016,0,16,Tad only
3,15,0.1188,0.1228,0.1213,0.0015,0,16,Tad only
3,16,0.1191,0.1258,0.1234,0.0024,0,16,Tad only
3,20,0.121,0.1266,0.1248,0.0018,0,16,Tad only
3,24,0.1192,0.1244,0.122,0.0024,0,16,Tad only
3,26,0.1192,0.1266,0.1241,0.0025,0,16,Tad only
3,27,0.1203,0.1248,0.1231,0.0017,0,16,Tad only
3,28,0.1208,0.1297,0.1278,0.0019,0,16,Tad only
3,29,0.1212,0.1249,0.1232,0.0017,0,16,Tad only
4,1,0.1198,0.1521,0.1407,0.0114,250,16,MF + Tad
4,8,0.1249,0.1526,0.1427,0.0099,250,16,MF + Tad
4,11,0.1195,0.1551,0.1438,0.0113,250,16,MF + Tad
4,12,0.1236,0.1391,0.1346,0.0045,250,16,MF + Tad
4,14,0.1235,0.1389,0.1335,0.0054,250,16,MF + Tad
4,15,0.1238,0.1454,0.1381,0.0073,250,16,MF + Tad
4,16,0.1191,0.1265,0.1241,0.0024,250,16,MF + Tad
4,17,0.1241,0.1446,0.1386,0.006,250,16,MF + Tad
4,20,0.1245,0.1466,0.1399,0.0067,250,16,MF + Tad
4,22,0.1203,0.1625,0.149,0.0135,250,16,MF + Tad
4,26,0.1238,0.1328,0.1306,0.0022,250,16,MF + Tad
4,27,0.1228,0.14,0.1348,0.0052,250,16,MF + Tad
4,28,0.1243,0.1445,0.139,0.0055,250,16,MF + Tad
4,29,0.1241,0.1638,0.155,0.0088,250,16,MF + Tad
4,30,0.1243,0.1361,0.1328,0.0033,250,16,MF + Tad
5,1,0.1269,0.1796,0.1646,0.015,250,0,MF only
5,4,0.121,0.1602,0.1488,0.0114,250,0,MF only
5,6,0.1249,0.1298,0.1275,0.0023,250,0,MF only
5,10,0.119,0.1617,0.1497,0.012,250,0,MF only
5,11,0.1238,0.1374,0.1331,0.0043,250,0,MF only
5,13,0.1243,0.1379,0.1338,0.0041,250,0,MF only
5,16,0.1208,0.1834,0.1665,0.0169,250,0,MF only
5,17,0.1259,0.2084,0.1867,0.0217,250,0,MF only
5,18,0.1189,0.1248,0.1226,0.0022,250,0,MF only
5,24,0.1193,0.1255,0.1232,0.0023,250,0,MF only
5,26,0.1203,0.1278,0.125,0.0028,250,0,MF only
5,27,0.1191,0.1224,0.121,0.0014,250,0,MF only
