TadpoleDensity,MayflyDensity,GrowthPeriod,FilterWt,DryWt,AshedWt,AFDM,IM,AFDM/cm2/d
16,0,8,0.0345,,,0,-0.0345,0
16,0,8,0.0353,,,0,-0.0353,0
0,250,8,0.0353,,,0,-0.0353,0
0,250,8,0.0372,,,0,-0.0372,0
0,0,21,0.125,0.1938,0.1721,0.0217,0.0471,1.62781E-05
16,0,6,0.1223,0.1331,0.13,0.0031,0.0077,8.13905E-06
0,0,5,0.1231,0.1342,0.1299,0.0043,0.0068,1.35476E-05
0,0,22,0.1246,0.1544,0.1449,0.0095,0.0203,6.80243E-06
16,0,14,0.1236,0.1332,0.1307,0.0025,0.0071,2.81303E-06
0,0,5,0.1244,0.141,0.1375,0.0035,0.0131,1.10271E-05
0,0,5,0.1228,0.1278,0.1256,0.0022,0.0028,6.93132E-06
16,0,6,0.1219,0.1281,0.1265,0.0016,0.0046,4.2008E-06
16,0,14,0.1231,0.126,0.1251,0.0009,0.002,1.01269E-06
0,0,5,0.1235,0.1297,0.1274,0.0023,0.0039,7.24638E-06
0,0,5,0.1253,0.1321,0.1297,0.0024,0.0044,7.56144E-06
16,0,6,0.1247,0.1283,0.1274,0.0009,0.0027,2.36295E-06
0,0,5,0.1235,0.133,0.1298,0.0032,0.0063,1.00819E-05
0,0,5,0.1251,0.1334,0.1304,0.003,0.0053,9.4518E-06
0,0,22,0.1237,0.1267,0.125,0.0017,0.0013,1.21728E-06
16,0,22,0.1257,0.1314,0.1299,0.0015,0.0042,1.07407E-06
0,250,8,0.0348,,,0,-0.0348,0
16,250,8,0.0347,0.0391,0.0368,0.0023,0.0021,4.52899E-06
16,250,8,0.0354,,,0,-0.0354,0
0,0,16,0.0363,,,0,-0.0363,0
0,0,8,0.0347,,,0,-0.0347,0
16,0,8,0.0344,,,0,-0.0344,0
16,250,8,0.0353,0.0426,0.0398,0.0028,0.0045,5.51355E-06
16,250,8,0.0352,,,0,-0.0352,0
0,0,16,0.0349,,,0,-0.0349,0
16,250,16,0.0348,,,0,-0.0348,0
16,250,16,0.0355,,,0,-0.0355,0
0,0,8,0.0356,0.0457,0.0413,0.0044,0.0057,8.66415E-06
16,250,16,0.0388,,,0,-0.0388,0
16,250,16,0.0353,,,0,-0.0353,0
