"TankNumber","TileNumber","SampleDate","FilterWt","DryWt","AshedWt","AFDM","GrowthPeriod"
"11",5,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"11",1,7/7/2010 0:00:00,0.11,0.12,0.11,,1
"11",1,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"11",1,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"11",1,7/10/2010 0:00:00,0.12,0.12,0.12,,4
"11",1,7/11/2010 0:00:00,0.11,0.12,0.12,,5
"11",2,7/7/2010 0:00:00,0.11,0.12,0.11,,1
"11",2,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"11",2,7/9/2010 0:00:00,0.11,0.12,0.12,,3
"11",2,7/10/2010 0:00:00,0.12,0.12,0.12,,4
"11",2,7/11/2010 0:00:00,0.12,0.12,0.12,,5
"11",3,7/7/2010 0:00:00,0.12,0.12,0.12,,1
"11",3,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"11",3,7/10/2010 0:00:00,0.11,0.12,0.12,,4
"11",3,7/11/2010 0:00:00,0.12,0.13,0.12,,5
"11",4,7/7/2010 0:00:00,0.12,0.13,0.12,,1
"11",4,7/8/2010 0:00:00,0.11,0.12,0.12,,2
"11",4,7/9/2010 0:00:00,0.11,0.12,0.11,,3
"11",4,7/10/2010 0:00:00,0.12,0.12,0.12,,4
"11",4,7/11/2010 0:00:00,0.12,0.12,0.12,,5
"11",5,7/7/2010 0:00:00,0.11,0.12,0.12,,1
"11",5,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"11",5,7/10/2010 0:00:00,0.12,0.12,0.12,,4
"11",5,7/11/2010 0:00:00,0.12,0.12,0.12,,5
"13",1,7/7/2010 0:00:00,0.12,0.12,0.11,,1
"13",1,7/8/2010 0:00:00,0.12,0.13,0.13,,2
"13",1,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"13",1,7/10/2010 0:00:00,0.12,0.13,0.12,,4
"13",1,7/11/2010 0:00:00,0.11,0.13,0.12,,5
"13",2,7/7/2010 0:00:00,0.11,0.12,0.12,,1
"13",2,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"13",2,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"13",2,7/10/2010 0:00:00,0.11,0.12,0.12,,4
"13",2,7/11/2010 0:00:00,0.12,0.12,0.12,,5
"13",3,7/7/2010 0:00:00,0.11,0.12,0.11,,1
"13",3,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"13",3,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"13",3,7/10/2010 0:00:00,0.11,0.12,0.12,,4
"13",3,7/11/2010 0:00:00,0.12,0.13,0.13,,5
"13",4,7/7/2010 0:00:00,0.12,0.12,0.12,,1
"13",4,7/8/2010 0:00:00,0.11,0.12,0.12,,2
