TankNumber,TileNumber,SampleDate,NumDate,FilterWt,DryWt,AshedWt,AFDM
4,1,6-Jul-2010,187.00,0,0,0,0
4,2,6-Jul-2010,187.00,0,0,0,0
4,3,6-Jul-2010,187.00,0,0,0,0
4,4,6-Jul-2010,187.00,0,0,0,0
4,5,6-Jul-2010,187.00,0,0,0,0
7,1,6-Jul-2010,187.00,0,0,0,0
7,2,6-Jul-2010,187.00,0,0,0,0
7,3,6-Jul-2010,187.00,0,0,0,0
7,4,6-Jul-2010,187.00,0,0,0,0
7,5,6-Jul-2010,187.00,0,0,0,0
11,1,6-Jul-2010,187.00,0,0,0,0
11,2,6-Jul-2010,187.00,0,0,0,0
11,3,6-Jul-2010,187.00,0,0,0,0
11,4,6-Jul-2010,187.00,0,0,0,0
11,5,6-Jul-2010,187.00,0,0,0,0
13,1,6-Jul-2010,187.00,0,0,0,0
13,2,6-Jul-2010,187.00,0,0,0,0
13,3,6-Jul-2010,187.00,0,0,0,0
13,4,6-Jul-2010,187.00,0,0,0,0
13,5,6-Jul-2010,187.00,0,0,0,0
4,1,7-Jul-2010,188.00,0.1183,0.1197,0.1189,0.0008
4,2,7-Jul-2010,188.00,0.1187,0.12,0.1195,0.0005
4,3,7-Jul-2010,188.00,0.1189,0.1199,0.1196,0.0003
4,4,7-Jul-2010,188.00,0.1184,0.1193,0.1187,0.0006
4,5,7-Jul-2010,188.00,0.1195,0.1228,0.1212,0.0016
7,1,7-Jul-2010,188.00,0.1205,0.1247,0.1232,0.0015
7,2,7-Jul-2010,188.00,0.1199,0.121,0.1202,0.0008
7,3,7-Jul-2010,188.00,0.1197,0.1235,0.1222,0.0013
7,4,7-Jul-2010,188.00,0.1183,0.1224,0.1212,0.0012
7,5,7-Jul-2010,188.00,0.1206,0.1235,0.1221,0.0014
11,1,7-Jul-2010,188.00,0.1199,0.1212,0.1196,0.0016
11,2,7-Jul-2010,188.00,0.1194,0.1204,0.1195,0.0009
11,3,7-Jul-2010,188.00,0.1203,0.1216,0.1206,0.001
11,4,7-Jul-2010,188.00,0.1211,0.1312,0.1291,0.0021
11,5,7-Jul-2010,188.00,0.1188,0.1228,0.1213,0.0015
13,1,7-Jul-2010,188.00,0.1202,0.1203,0.1199,0.0004
13,2,7-Jul-2010,188.00,0.1199,0.1226,0.1213,0.0013
13,3,7-Jul-2010,188.00,0.1195,0.1206,0.1198,0.0008
13,4,7-Jul-2010,188.00,0.1217,0.1273,0.1225,0.0048
13,5,7-Jul-2010,188.00,0.1186,0.1207,0.1197,0.001
4,1,8-Jul-2010,189.00,0.1239,0.1263,0.1252,0.0011
4,2,8-Jul-2010,189.00,0.1235,0.1255,0.1243,0.0012
4,3,8-Jul-2010,189.00,0.1203,0.1235,0.1219,0.0016
4,4,8-Jul-2010,189.00,0.1254,0.1289,0.1274,0.0015
4,5,8-Jul-2010,189.00,0.1259,0.1298,0.1279,0.0019
7,3,8-Jul-2010,189.00,0.1266,0.1282,0.1269,0.0013
7,4,8-Jul-2010,189.00,0.1249,0.1284,0.1272,0.0012
7,5,8-Jul-2010,189.00,0.123,0.1263,0.1252,0.0011
11,1,8-Jul-2010,189.00,0.1282,0.1288,0.1279,0.0009
11,3,8-Jul-2010,189.00,0.125,0.1264,0.1249,0.0015
11,4,8-Jul-2010,189.00,0.119,0.1216,0.1202,0.0014
13,1,8-Jul-2010,189.00,0.1244,0.1314,0.13,0.0014
13,3,8-Jul-2010,189.00,0.1232,0.1244,0.1236,0.0008
13,4,8-Jul-2010,189.00,0.1199,0.1211,0.1203,0.0008
13,5,8-Jul-2010,189.00,0.1208,0.1224,0.1214,0.001
4,1,9-Jul-2010,190.00,0.1187,0.1228,0.1213,0.0015
4,2,9-Jul-2010,190.00,0.1242,0.1262,0.1255,0.0007
4,3,9-Jul-2010,190.00,0.124,0.1278,0.1262,0.0016
