TankNumber,BdExposure,MeasuredBy,BL
10,Bd+,T,24.3
10,Bd+,T,24.3
10,Bd+,T,23.4
10,Bd+,T,22.5
10,Bd+,T,21
10,Bd+,T,22.9
10,Bd+,T,24
10,Bd+,T,25
10,Bd+,T,24.2
10,Bd+,T,27.7
10,Bd+,T,24.5
10,Bd+,T,24
10,Bd+,T,23.7
10,Bd+,T,22.7
10,Bd+,T,24.1
10,Bd+,T,24.9
11,Bd-,S,38.6
11,Bd-,S,26.7
11,Bd-,S,25.1
11,Bd-,S,25
11,Bd-,S,23.9
11,Bd-,S,24.4
11,Bd-,S,24.4
11,Bd-,S,26
11,Bd-,S,25.9
11,Bd-,S,26.6
11,Bd-,S,24.3
11,Bd-,S,23.5
11,Bd-,S,27.9
11,Bd-,S,24.2
11,Bd-,S,26.4
11,Bd-,S,25.9
13,Bd+,T,23.1
13,Bd+,T,24
13,Bd+,T,21.6
13,Bd+,T,22.2
13,Bd+,T,23.1
13,Bd+,T,24.1
13,Bd+,T,25.3
13,Bd+,T,23.7
13,Bd+,T,21.5
13,Bd+,T,23.3
13,Bd+,T,23
13,Bd+,T,24.9
13,Bd+,T,24
13,Bd+,T,22.8
13,Bd+,T,25.9
13,Bd+,T,25.4
14,Bd-,T,24.9
14,Bd-,T,23
14,Bd-,T,23.7
14,Bd-,T,24.7
14,Bd-,T,26.9
14,Bd-,T,24.3
14,Bd-,T,25
14,Bd-,T,25.4
14,Bd-,T,24.7
14,Bd-,T,24.7
14,Bd-,T,24.3
14,Bd-,T,26.3
14,Bd-,T,22.5
14,Bd-,T,26.9
14,Bd-,T,25.3
14,Bd-,T,23
3,Bd-,S,27
3,Bd-,S,25.1
3,Bd-,S,25.4
3,Bd-,S,24.1
3,Bd-,S,25.3
3,Bd-,S,25.8
3,Bd-,S,27.6
3,Bd-,S,27.4
3,Bd-,S,27
3,Bd-,S,26
3,Bd-,S,25.3
3,Bd-,S,26.9
3,Bd-,S,25.9
3,Bd-,S,24.5
3,Bd-,S,26
3,Bd-,S,26.1
4,Bd+,T,23.2
4,Bd+,T,23.3
4,Bd+,T,25.2
4,Bd+,T,25.8
4,Bd+,T,25.9
4,Bd+,T,21.9
4,Bd+,T,25.1
4,Bd+,T,22.5
4,Bd+,T,26.2
4,Bd+,T,22.8
4,Bd+,T,24.2
4,Bd+,T,24.6
4,Bd+,T,3.4
4,Bd+,T,22.9
4,Bd+,T,23.6
4,Bd+,T,25.5
7,Bd-,S,25.4
7,Bd-,S,25.7
7,Bd-,S,29.3
7,Bd-,S,24.3
7,Bd-,S,23.9
7,Bd-,S,25.9
7,Bd-,S,26.3
7,Bd-,S,25.9
7,Bd-,S,26.9
7,Bd-,S,24
7,Bd-,S,25.5
7,Bd-,S,23.5
7,Bd-,S,22.5
7,Bd-,S,23
7,Bd-,S,22.9
7,Bd-,S,24.58
8,Bd+,T,22.8
8,Bd+,T,23.1
8,Bd+,T,25
8,Bd+,T,25.2
8,Bd+,T,22.6
8,Bd+,T,24.7
8,Bd+,T,22.3
8,Bd+,T,25
8,Bd+,T,24.3
8,Bd+,T,23.3
8,Bd+,T,24.4
8,Bd+,T,22.6
8,Bd+,T,25.9
8,Bd+,T,25.9
8,Bd+,T,22.7
8,Bd+,T,24.1
