TankNumber,BdExposure,MeasuredBy,AnimalID,BL,GosnerStage
3,Bd-,T,1,25.6,41
3,Bd-,T,2,23.5,41
3,Bd-,T,3,24.7,41
3,Bd-,T,4,23.5,41
3,Bd-,T,5,26.2,41
3,Bd-,T,6,25.2,41
3,Bd-,T,7,22.4,42
3,Bd-,T,8,23.3,42
3,Bd-,T,9,25.2,41
3,Bd-,T,10,24.8,41
3,Bd-,T,11,23.3,41
3,Bd-,T,12,25.1,41
3,Bd-,T,13,22.5,41
3,Bd-,T,14,23.2,41
3,Bd-,T,15,23.4,41
4,Bd+,T,1,23.9,42
4,Bd+,T,2,21.9,42
4,Bd+,T,3,24.3,41
4,Bd+,T,4,25.2,41
4,Bd+,T,5,26,40
4,Bd+,T,6,22.6,41
4,Bd+,T,7,24.7,41
4,Bd+,T,8,23.5,41
4,Bd+,T,9,23.5,40
4,Bd+,T,10,24,41
4,Bd+,T,11,23.5,40
4,Bd+,T,12,24.4,41
4,Bd+,T,13,24.9,41
4,Bd+,T,14,22.6,42
7,Bd-,S,1,23.1,37
7,Bd-,S,2,21.9,42
7,Bd-,S,3,22.5,42
7,Bd-,S,4,25.9,41
7,Bd-,S,5,25.5,42
7,Bd-,S,6,25.8,41
7,Bd-,S,7,22.3,42
7,Bd-,S,8,24,41
7,Bd-,S,9,25.4,39
7,Bd-,S,10,24.9,40
7,Bd-,S,11,22.3,42
7,Bd-,S,12,25.4,41
7,Bd-,S,13,26.1,40
7,Bd-,S,14,29.3,40
8,Bd+,S,1,25.7,41
8,Bd+,S,2,24.5,42
8,Bd+,S,3,25.8,41
8,Bd+,S,4,23.1,42
8,Bd+,S,5,25.6,41
8,Bd+,S,6,22.6,42
8,Bd+,S,7,25,37
8,Bd+,S,8,24.9,39
8,Bd+,S,9,23,41
8,Bd+,S,10,25.8,41
8,Bd+,S,11,22.3,42
8,Bd+,S,12,23.4,42
8,Bd+,S,13,21.7,41
8,Bd+,S,14,24.8,41
8,Bd+,S,15,24,41
10,Bd+,S,1,24.6,41
10,Bd+,S,2,24.2,41
10,Bd+,S,3,26.6,41
10,Bd+,S,4,22,42
10,Bd+,S,5,23.9,42
10,Bd+,S,6,25,41
10,Bd+,S,7,24.4,41
10,Bd+,S,8,24.6,42
10,Bd+,S,9,24.1,42
10,Bd+,S,10,23.2,42
10,Bd+,S,11,25.2,41
10,Bd+,S,12,25,41
11,Bd-,S,1,26.5,41
11,Bd-,S,2,26.3,41
11,Bd-,S,3,24.6,42
11,Bd-,S,4,26.4,40
11,Bd-,S,5,27.7,40
11,Bd-,S,6,26.6,41
11,Bd-,S,7,24.4,41
11,Bd-,S,8,21.8,41
11,Bd-,S,9,22.9,41
11,Bd-,S,10,24.2,40
11,Bd-,S,11,23.4,41
11,Bd-,S,12,24,41
13,Bd+,T,1,25.1,41
13,Bd+,T,2,21.5,42
13,Bd+,T,3,24.3,42
13,Bd+,T,4,24.5,40
13,Bd+,T,5,26.6,41
13,Bd+,T,6,25.7,41
13,Bd+,T,7,23.4,37
13,Bd+,T,8,23.2,42
13,Bd+,T,9,24.5,41
13,Bd+,T,10,21.6,41
14,Bd-,T,1,24.2,41
14,Bd-,T,2,23.3,41
14,Bd-,T,3,21.7,42
14,Bd-,T,4,20.9,42
14,Bd-,T,5,21.8,42
14,Bd-,T,6,25.8,40
14,Bd-,T,7,23.8,41
14,Bd-,T,8,24.2,41
14,Bd-,T,9,24,41
14,Bd-,T,10,22.2,42
14,Bd-,T,11,26,41
14,Bd-,T,12,20.1,42
14,Bd-,T,13,24.3,41
14,Bd-,T,14,24,41
