TankNumber,SampleDate,NumDate,Time,pH,TadpoleDensity,MayflyDensity,BdTx
1,8/14/2010,226.00,10:45,8.29,0,0,na
1,8/14/2010,226.00,16:19,8.33,0,0,na
10,8/14/2010,226.00,12:05,8.62,16,0,Bd+
10,8/14/2010,226.00,16:55,8.68,16,0,Bd+
11,8/14/2010,226.00,11:32,8.45,16,250,Bd-
11,8/14/2010,226.00,16:36,8.47,16,250,Bd-
12,8/14/2010,226.00,12:02,9,0,0,na
12,8/14/2010,226.00,16:54,8.96,0,0,na
13,8/14/2010,226.00,11:46,8.61,16,250,Bd+
13,8/14/2010,226.00,16:52,8.59,16,250,Bd+
14,8/14/2010,226.00,11:35,8.51,16,0,Bd-
14,8/14/2010,226.00,16:38,8.51,16,0,Bd-
15,8/14/2010,226.00,11:39,8.74,0,0,na
15,8/14/2010,226.00,16:43,8.71,0,0,na
16,8/14/2010,226.00,11:43,8.78,0,250,na
16,8/14/2010,226.00,16:48,8.77,0,250,na
2,8/14/2010,226.00,10:48,8.43,0,250,na
2,8/14/2010,226.00,16:22,8.48,0,250,na
3,8/14/2010,226.00,11:17,8.23,16,0,Bd-
3,8/14/2010,226.00,16:25,8.27,16,0,Bd-
4,8/14/2010,226.00,12:09,8.1,16,250,Bd+
4,8/14/2010,226.00,17:12,8.09,16,250,Bd+
5,8/14/2010,226.00,12:13,9.2,0,250,na
5,8/14/2010,226.00,17:08,9.14,0,250,na
6,8/14/2010,226.00,12:16,9.16,0,0,na
6,8/14/2010,226.00,17:06,9.11,0,0,na
7,8/14/2010,226.00,11:22,8.72,16,250,Bd-
7,8/14/2010,226.00,16:29,8.72,16,250,Bd-
8,8/14/2010,226.00,12:21,8.74,16,0,Bd+
8,8/14/2010,226.00,17:04,8.73,16,0,Bd+
9,8/14/2010,226.00,11:27,8.74,0,250,na
9,8/14/2010,226.00,16:34,8.77,0,250,na
1,8/15/2010,227.00,10:37,8.4,0,0,na
10,8/15/2010,227.00,11:18,8.71,16,0,Bd+
11,8/15/2010,227.00,11:03,8.48,16,250,Bd-
12,8/15/2010,227.00,11:17,9.02,0,0,na
13,8/15/2010,227.00,11:15,8.64,16,250,Bd+
14,8/15/2010,227.00,11:05,8.48,16,0,Bd-
15,8/15/2010,227.00,11:06,8.75,0,0,na
16,8/15/2010,227.00,11:12,8.81,0,250,na
2,8/15/2010,227.00,10:42,8.55,0,250,na
3,8/15/2010,227.00,10:45,8.34,16,0,Bd-
4,8/15/2010,227.00,11:20,8.14,16,250,Bd+
5,8/15/2010,227.00,11:21,9.21,0,250,na
6,8/15/2010,227.00,11:23,9.17,0,0,na
7,8/15/2010,227.00,10:59,8.72,16,250,Bd-
8,8/15/2010,227.00,11:25,8.75,16,0,Bd+
9,8/15/2010,227.00,11:01,8.83,0,250,na
1,8/16/2010,228.00,10:12,8.33,0,0,na
10,8/16/2010,228.00,10:54,8.73,16,0,Bd+
11,8/16/2010,228.00,10:59,8.5,16,250,Bd-
12,8/16/2010,228.00,10:23,9,0,0,na
13,8/16/2010,228.00,11:08,8.66,16,250,Bd+
14,8/16/2010,228.00,10:43,8.52,16,0,Bd-
15,8/16/2010,228.00,10:15,8.63,0,0,na
16,8/16/2010,228.00,10:34,8.73,0,250,na
2,8/16/2010,228.00,10:28,8.5,0,250,na
3,8/16/2010,228.00,10:47,8.39,16,0,Bd-
4,8/16/2010,228.00,11:05,8.1,16,250,Bd+
5,8/16/2010,228.00,10:39,9.16,0,250,na
6,8/16/2010,228.00,10:19,9.09,0,0,na
7,8/16/2010,228.00,11:01,8.79,16,250,Bd-
8,8/16/2010,228.00,10:51,8.76,16,0,Bd+
9,8/16/2010,228.00,10:31,8.86,0,250,na
1,8/17/2010,229.00,16:16,8.2,0,0,na
10,8/17/2010,229.00,16:44,8.8,16,0,Bd+
11,8/17/2010,229.00,16:49,8.51,16,250,Bd-
12,8/17/2010,229.00,16:26,8.96,0,0,na
13,8/17/2010,229.00,16:52,8.63,16,250,Bd+
14,8/17/2010,229.00,16:40,8.53,16,0,Bd-
15,8/17/2010,229.00,16:21,8.56,0,0,na
16,8/17/2010,229.00,16:35,8.72,0,250,na
2,8/17/2010,229.00,16:29,8.55,0,250,na
3,8/17/2010,229.00,16:38,8.44,16,0,Bd-
4,8/17/2010,229.00,16:50,8.13,16,250,Bd+
5,8/17/2010,229.00,16:33,9.13,0,250,na
6,8/17/2010,229.00,16:24,9.03,0,0,na
7,8/17/2010,229.00,16:47,8.81,16,250,Bd-
8,8/17/2010,229.00,16:43,8.81,16,0,Bd+
9,8/17/2010,229.00,16:31,8.82,0,250,na
